review_id,customer_id,restaurant_id,order_id,review_date,rating,sentiment,review_text,service_score,food_score,cleanliness_score,will_return
23,1228,10024,55,2024-06-05,4,positive,The restaurant had fresh ingredients. Cuisine was israeli style. I ordered Quesadilla and the experience was positive.,5,5,4,1
24,553,4877,57,2024-12-10,4,positive,The restaurant had delicious food. Cuisine was israeli style. I ordered Vegan Burger and the experience was positive.,4,5,4,1
25,3316,5616,59,2025-12-13,4,positive,The restaurant had fast delivery. Cuisine was burger style. I ordered Bao Bun and the experience was positive.,3,4,5,1
26,13707,8669,60,2025-07-01,5,positive,The restaurant had delicious food. Cuisine was steakhouse style. I ordered Lamb Skewers and the experience was positive.,5,5,4,1
27,4760,3899,66,2025-11-09,2,negative,The restaurant had slow service. Cuisine was japanese style. I ordered Samosa and the experience was negative.,2,1,1,0
28,4767,7614,68,2025-03-19,5,positive,The restaurant had excellent service. Cuisine was thai style. I ordered Fries and the experience was positive.,4,4,4,1
29,11277,11354,70,2024-02-24,4,positive,The restaurant had clean place. Cuisine was italian style. I ordered Entrecote and the experience was positive.,3,3,5,1
30,2102,5400,71,2025-03-01,5,positive,The restaurant had recommended for dinner. Cuisine was japanese style. I ordered Garlic Bread and the experience was positive.,5,4,5,1
31,1089,296,73,2024-05-23,3,neutral,The restaurant had good location. Cuisine was mediterranean style. I ordered Tiramisu and the experience was neutral.,3,2,2,0
32,3346,10491,74,2024-01-28,5,positive,The restaurant had excellent service. Cuisine was italian style. I ordered Sashimi and the experience was positive.,4,5,4,1
33,2235,9741,79,2024-03-28,5,positive,The restaurant had fast delivery. Cuisine was cafe style. I ordered Vegan Shawarma and the experience was positive.,4,4,4,1
34,14822,463,80,2025-05-08,4,positive,The restaurant had friendly staff. Cuisine was sushi style. I ordered Chicken Burger and the experience was positive.,4,3,5,1
35,4850,1410,87,2024-05-12,5,positive,The restaurant had great atmosphere. Cuisine was mexican style. I ordered Croissant and the experience was positive.,4,4,5,1
36,3217,729,95,2024-08-13,5,positive,The restaurant had high value for money. Cuisine was steakhouse style. I ordered Sabich and the experience was positive.,5,4,5,1
37,10554,4925,98,2025-08-01,4,positive,The restaurant had excellent service. Cuisine was israeli style. I ordered Margherita Pizza and the experience was positive.,4,3,4,1
38,9331,10253,99,2024-08-17,4,positive,The restaurant had high value for money. Cuisine was burger style. I ordered Fish & Chips and the experience was positive.,5,4,5,1
39,4195,1474,104,2025-01-20,4,positive,The restaurant had high value for money. Cuisine was vegan style. I ordered Hummus Plate and the experience was positive.,4,5,3,1
40,238,2497,105,2025-08-30,4,positive,The restaurant had fresh ingredients. Cuisine was japanese style. I ordered Samosa and the experience was positive.,5,5,4,1
41,14664,11428,106,2025-11-25,4,positive,The restaurant had fresh ingredients. Cuisine was japanese style. I ordered Teriyaki Bowl and the experience was positive.,4,5,4,1
42,9404,7702,110,2025-08-31,5,positive,The restaurant had high value for money. Cuisine was burger style. I ordered Baklava and the experience was positive.,5,5,5,1
43,10253,6488,113,2025-09-17,4,positive,The restaurant had high value for money. Cuisine was japanese style. I ordered Fish & Chips and the experience was positive.,4,5,4,1
44,7702,1575,116,2024-12-02,5,positive,The restaurant had fresh ingredients. Cuisine was mexican style. I ordered Cheesecake and the experience was positive.,4,5,5,1
45,899,3584,120,2024-06-23,4,positive,The restaurant had friendly staff. Cuisine was seafood style. I ordered Lasagna and the experience was positive.,3,5,5,1
46,5243,9904,121,2024-10-01,5,positive,The restaurant had clean place. Cuisine was vegan style. I ordered Biryani and the experience was positive.,5,4,5,1
47,8480,10446,122,2025-08-25,5,positive,The restaurant had high value for money. Cuisine was cafe style. I ordered Croissant and the experience was positive.,5,4,5,1
48,6295,130,124,2024-02-09,5,positive,The restaurant had clean place. Cuisine was sushi style. I ordered Grilled Fish and the experience was positive.,4,5,4,1
49,9237,7499,128,2025-08-08,3,neutral,The restaurant had good location. Cuisine was indian style. I ordered Grilled Salmon and the experience was neutral.,4,3,2,0
50,641,5976,129,2025-11-07,3,neutral,The restaurant had standard menu. Cuisine was italian style. I ordered Milkshake and the experience was neutral.,3,4,3,0
51,5398,10937,132,2024-03-12,5,positive,The restaurant had great atmosphere. Cuisine was mexican style. I ordered Baklava and the experience was positive.,5,5,4,1
52,8143,675,135,2024-03-16,5,positive,The restaurant had delicious food. Cuisine was pizza style. I ordered Miso Soup and the experience was positive.,4,5,5,1
53,8756,2659,136,2025-10-23,5,positive,The restaurant had great atmosphere. Cuisine was japanese style. I ordered Tofu Bowl and the experience was positive.,5,4,5,1
54,5768,6363,137,2025-06-11,3,neutral,The restaurant had reasonable prices. Cuisine was cafe style. I ordered Omelette and the experience was neutral.,4,3,4,0
55,11050,7911,138,2025-11-30,5,positive,The restaurant had clean place. Cuisine was seafood style. I ordered Shrimp Pasta and the experience was positive.,5,4,4,1
56,9262,1886,139,2025-01-30,2,negative,The restaurant had noisy place. Cuisine was pizza style. I ordered Pepperoni Pizza and the experience was negative.,2,3,1,0
57,4183,5657,140,2024-05-09,4,positive,The restaurant had fast delivery. Cuisine was greek style. I ordered Dal Tadka and the experience was positive.,4,3,5,1
58,1955,808,141,2024-07-05,3,neutral,The restaurant had average experience. Cuisine was israeli style. I ordered Noodles and the experience was neutral.,2,4,4,0
59,348,5868,142,2025-12-22,4,positive,The restaurant had clean place. Cuisine was mediterranean style. I ordered Pasta Alfredo and the experience was positive.,4,4,4,1
60,8215,9731,145,2025-06-13,4,positive,The restaurant had excellent service. Cuisine was indian style. I ordered Pad Thai and the experience was positive.,5,5,5,1
61,4274,11379,148,2024-05-13,2,negative,The restaurant had slow service. Cuisine was italian style. I ordered Massaman Curry and the experience was negative.,1,1,1,0
62,14096,613,151,2024-10-31,4,positive,The restaurant had clean place. Cuisine was vegan style. I ordered Gnocchi and the experience was positive.,5,3,3,1
63,1980,527,165,2025-01-23,4,positive,The restaurant had high value for money. Cuisine was pizza style. I ordered Cheeseburger and the experience was positive.,4,3,4,1
64,4988,5800,166,2024-01-25,2,negative,The restaurant had not clean enough. Cuisine was israeli style. I ordered Pepperoni Pizza and the experience was negative.,3,1,2,0
65,4673,1145,168,2024-05-08,4,positive,The restaurant had great atmosphere. Cuisine was seafood style. I ordered Papaya Salad and the experience was positive.,4,4,3,1
66,3163,10381,170,2025-03-28,5,positive,The restaurant had clean place. Cuisine was sushi style. I ordered Burrito and the experience was positive.,5,5,5,1
67,4722,10048,177,2025-06-04,5,positive,The restaurant had great atmosphere. Cuisine was burger style. I ordered Lasagna and the experience was positive.,5,4,4,1
68,6505,2312,181,2024-04-16,4,positive,The restaurant had recommended for dinner. Cuisine was burger style. I ordered Teriyaki Bowl and the experience was positive.,3,3,3,1
69,5536,11834,182,2024-03-26,4,positive,The restaurant had delicious food. Cuisine was pizza style. I ordered Grilled Fish and the experience was positive.,4,5,3,1
70,13188,4478,183,2024-11-14,5,positive,The restaurant had recommended for dinner. Cuisine was pizza style. I ordered Croissant and the experience was positive.,4,5,5,1
71,13428,7028,185,2025-03-13,4,positive,The restaurant had excellent service. Cuisine was seafood style. I ordered Miso Soup and the experience was positive.,5,4,4,1
72,12352,2021,192,2025-04-22,5,positive,The restaurant had recommended for dinner. Cuisine was burger style. I ordered Miso Soup and the experience was positive.,4,4,5,1
73,5876,2699,194,2024-02-06,5,positive,The restaurant had fast delivery. Cuisine was greek style. I ordered Margherita Pizza and the experience was positive.,4,4,5,1
74,2922,5226,195,2025-04-25,5,positive,The restaurant had delicious food. Cuisine was seafood style. I ordered Massaman Curry and the experience was positive.,5,4,5,1
75,6054,5493,197,2025-09-30,3,neutral,The restaurant had okay for quick lunch. Cuisine was indian style. I ordered Mezze Plate and the experience was neutral.,2,2,3,0
76,891,5713,205,2024-03-02,5,positive,The restaurant had excellent service. Cuisine was seafood style. I ordered Greek Salad and the experience was positive.,5,4,5,1
77,6185,2532,208,2025-06-07,4,positive,The restaurant had recommended for dinner. Cuisine was mediterranean style. I ordered Mango Sticky Rice and the experience was positive.,5,4,4,1
78,6975,1348,211,2024-10-04,1,negative,The restaurant had too expensive. Cuisine was steakhouse style. I ordered Bao Bun and the experience was negative.,2,2,1,0
79,566,1549,214,2025-04-11,3,neutral,The restaurant had okay for quick lunch. Cuisine was mexican style. I ordered Papaya Salad and the experience was neutral.,2,4,2,0
80,3718,4957,216,2025-04-16,4,positive,The restaurant had fast delivery. Cuisine was sushi style. I ordered Grilled Salmon and the experience was positive.,5,3,3,1
81,12870,4285,219,2025-12-22,2,negative,The restaurant had not clean enough. Cuisine was cafe style. I ordered Teriyaki Bowl and the experience was negative.,1,3,1,0
82,13897,3631,223,2024-05-19,4,positive,The restaurant had recommended for dinner. Cuisine was asian style. I ordered Mezze Plate and the experience was positive.,3,5,4,1
83,448,95,226,2024-06-07,5,positive,The restaurant had recommended for dinner. Cuisine was sushi style. I ordered Falafel and the experience was positive.,5,5,4,1
84,7858,3576,227,2025-11-17,5,positive,The restaurant had friendly staff. Cuisine was sushi style. I ordered Noodles and the experience was positive.,5,5,5,1
85,9002,7599,230,2025-10-04,3,neutral,The restaurant had standard menu. Cuisine was italian style. I ordered Cheesecake and the experience was neutral.,2,2,3,0
86,5214,9294,233,2024-03-20,3,neutral,The restaurant had okay for quick lunch. Cuisine was mexican style. I ordered Greek Salad and the experience was neutral.,2,2,3,0
87,5357,10874,234,2024-05-10,4,positive,The restaurant had delicious food. Cuisine was sushi style. I ordered Cheesecake and the experience was positive.,3,4,4,1
88,4328,2603,239,2024-10-31,4,positive,The restaurant had high value for money. Cuisine was pizza style. I ordered Classic Burger and the experience was positive.,3,4,5,1
89,12247,9418,240,2024-08-23,4,positive,The restaurant had friendly staff. Cuisine was thai style. I ordered Spring Rolls and the experience was positive.,4,4,4,1
90,11054,1719,243,2025-12-21,2,negative,The restaurant had slow service. Cuisine was mexican style. I ordered Quinoa Salad and the experience was negative.,2,1,3,0
91,4892,8257,244,2024-11-02,4,positive,The restaurant had delicious food. Cuisine was steakhouse style. I ordered Yakitori and the experience was positive.,5,4,5,1
92,1693,1537,245,2025-01-15,4,positive,The restaurant had fast delivery. Cuisine was burger style. I ordered Garlic Bread and the experience was positive.,5,4,5,1
93,12881,10138,248,2025-02-27,5,positive,The restaurant had clean place. Cuisine was seafood style. I ordered Caesar Salad and the experience was positive.,5,4,4,1
94,5993,5181,251,2025-06-18,3,neutral,The restaurant had good location. Cuisine was italian style. I ordered Lentil Soup and the experience was neutral.,2,2,3,0
95,7009,9361,252,2024-05-08,4,positive,The restaurant had great atmosphere. Cuisine was steakhouse style. I ordered Risotto and the experience was positive.,3,5,4,1
96,3040,9585,256,2024-02-17,4,positive,The restaurant had delicious food. Cuisine was mexican style. I ordered Cheeseburger and the experience was positive.,5,5,4,1
97,14974,103,262,2024-10-13,5,positive,The restaurant had high value for money. Cuisine was pizza style. I ordered Croissant and the experience was positive.,5,5,4,1
98,546,7829,264,2025-08-25,5,positive,The restaurant had delicious food. Cuisine was seafood style. I ordered Dumplings and the experience was positive.,4,5,4,1
99,4916,9154,268,2024-04-10,5,positive,The restaurant had excellent service. Cuisine was burger style. I ordered Smoothie Bowl and the experience was positive.,4,4,4,1
100,824,11998,269,2024-09-02,1,negative,The restaurant had small portions. Cuisine was burger style. I ordered Classic Burger and the experience was negative.,2,1,1,0
101,1182,7367,273,2024-05-19,2,negative,The restaurant had small portions. Cuisine was steakhouse style. I ordered Gnocchi and the experience was negative.,1,3,1,0
102,4186,6109,275,2024-08-08,3,neutral,The restaurant had nothing special. Cuisine was pizza style. I ordered Dal Tadka and the experience was neutral.,3,3,3,0
103,1578,579,276,2025-07-24,5,positive,The restaurant had excellent service. Cuisine was vegan style. I ordered Naan and the experience was positive.,4,4,5,1
104,6586,6071,279,2024-03-15,2,negative,The restaurant had delivery was late. Cuisine was greek style. I ordered Gyros and the experience was negative.,3,1,2,0
105,8364,11794,282,2025-12-19,4,positive,The restaurant had delicious food. Cuisine was pizza style. I ordered Gyros and the experience was positive.,3,3,3,1
106,12502,3039,283,2025-03-21,5,positive,The restaurant had delicious food. Cuisine was burger style. I ordered Noodles and the experience was positive.,5,4,5,1
107,8181,1254,284,2025-07-28,3,neutral,The restaurant had standard menu. Cuisine was thai style. I ordered Gnocchi and the experience was neutral.,3,4,2,0
108,1565,3405,285,2025-05-04,5,positive,The restaurant had high value for money. Cuisine was japanese style. I ordered Lamb Skewers and the experience was positive.,4,5,4,1
109,6227,10652,288,2024-04-06,4,positive,The restaurant had recommended for dinner. Cuisine was mexican style. I ordered Chicken Burger and the experience was positive.,5,3,3,1
110,11829,2916,290,2024-06-08,4,positive,The restaurant had high value for money. Cuisine was italian style. I ordered Mango Sticky Rice and the experience was positive.,5,3,3,1
111,9494,6885,291,2024-10-12,4,positive,The restaurant had fast delivery. Cuisine was burger style. I ordered Teriyaki Bowl and the experience was positive.,3,4,5,1
112,5554,1373,294,2025-01-22,5,positive,The restaurant had recommended for dinner. Cuisine was israeli style. I ordered Tacos and the experience was positive.,5,4,4,1
113,5023,1940,295,2025-02-24,4,positive,The restaurant had great atmosphere. Cuisine was sushi style. I ordered Shakshuka and the experience was positive.,4,5,4,1
114,10728,1124,296,2024-12-27,4,positive,The restaurant had friendly staff. Cuisine was seafood style. I ordered Butter Chicken and the experience was positive.,5,4,4,1
115,2515,3410,297,2024-11-02,3,neutral,The restaurant had okay for quick lunch. Cuisine was sushi style. I ordered Seafood Paella and the experience was neutral.,3,4,3,0
116,8514,8646,299,2024-08-30,2,negative,The restaurant had not clean enough. Cuisine was cafe style. I ordered Sabich and the experience was negative.,3,2,3,0
117,8035,2956,300,2024-06-29,3,neutral,The restaurant had okay for quick lunch. Cuisine was cafe style. I ordered Lentil Soup and the experience was neutral.,3,3,2,0
118,12521,4324,308,2024-10-25,5,positive,The restaurant had recommended for dinner. Cuisine was thai style. I ordered Mushroom Pizza and the experience was positive.,4,5,5,1
119,890,6208,309,2024-01-17,5,positive,The restaurant had fast delivery. Cuisine was vegan style. I ordered Teriyaki Bowl and the experience was positive.,4,5,4,1
120,10215,1508,316,2024-12-22,3,neutral,The restaurant had okay for quick lunch. Cuisine was italian style. I ordered Calamari and the experience was neutral.,4,2,3,0
121,9530,7597,317,2025-09-19,2,negative,The restaurant had noisy place. Cuisine was vegan style. I ordered Entrecote and the experience was negative.,1,2,2,0
122,13916,8192,323,2025-07-04,4,positive,The restaurant had delicious food. Cuisine was asian style. I ordered Tacos and the experience was positive.,3,3,3,1
123,12922,1094,325,2025-10-17,4,positive,The restaurant had high value for money. Cuisine was vegan style. I ordered Cheesecake and the experience was positive.,4,5,3,1
124,14512,5433,326,2025-12-02,4,positive,The restaurant had great atmosphere. Cuisine was cafe style. I ordered Sabich and the experience was positive.,3,3,3,1
125,11560,2245,327,2024-02-20,5,positive,The restaurant had friendly staff. Cuisine was thai style. I ordered Butter Chicken and the experience was positive.,5,5,4,1
126,5599,9000,330,2025-10-31,5,positive,The restaurant had excellent service. Cuisine was mediterranean style. I ordered Sirloin and the experience was positive.,4,5,5,1
127,2636,10269,331,2025-05-03,5,positive,The restaurant had recommended for dinner. Cuisine was greek style. I ordered Tempura and the experience was positive.,5,4,5,1
128,7505,5961,335,2025-10-06,5,positive,The restaurant had great atmosphere. Cuisine was italian style. I ordered Milkshake and the experience was positive.,5,4,5,1
129,5562,11925,336,2025-06-20,5,positive,The restaurant had fast delivery. Cuisine was vegan style. I ordered Papaya Salad and the experience was positive.,4,4,5,1
130,8231,3499,338,2025-04-03,4,positive,The restaurant had recommended for dinner. Cuisine was cafe style. I ordered Greek Salad and the experience was positive.,3,5,5,1
131,12104,9835,339,2025-02-10,5,positive,The restaurant had recommended for dinner. Cuisine was asian style. I ordered Margherita Pizza and the experience was positive.,5,4,5,1
132,6796,4914,343,2024-02-22,3,neutral,The restaurant had okay for quick lunch. Cuisine was cafe style. I ordered Mushroom Pizza and the experience was neutral.,3,4,4,0
133,2460,8150,346,2025-06-24,5,positive,The restaurant had excellent service. Cuisine was israeli style. I ordered Sabich and the experience was positive.,5,4,4,1
134,591,6685,347,2024-02-23,4,positive,The restaurant had delicious food. Cuisine was burger style. I ordered Calzone and the experience was positive.,5,5,4,1
135,13856,5692,348,2025-08-17,5,positive,The restaurant had recommended for dinner. Cuisine was mexican style. I ordered Churros and the experience was positive.,5,4,4,1
136,6302,4555,351,2024-09-25,5,positive,The restaurant had fresh ingredients. Cuisine was pizza style. I ordered Yakitori and the experience was positive.,4,4,5,1
137,9215,1859,352,2024-07-30,5,positive,The restaurant had fast delivery. Cuisine was steakhouse style. I ordered Nigiri Set and the experience was positive.,4,5,5,1
138,1947,1784,356,2024-02-14,5,positive,The restaurant had fast delivery. Cuisine was sushi style. I ordered Mango Sticky Rice and the experience was positive.,4,5,4,1
139,5642,4614,358,2025-03-06,4,positive,The restaurant had great atmosphere. Cuisine was vegan style. I ordered Croissant and the experience was positive.,5,4,4,1
140,5404,7634,360,2024-09-02,5,positive,The restaurant had delicious food. Cuisine was indian style. I ordered Risotto and the experience was positive.,5,5,4,1
141,13763,2350,362,2025-04-11,2,negative,The restaurant had delivery was late. Cuisine was israeli style. I ordered Lamb Skewers and the experience was negative.,1,1,3,0
142,4490,9609,364,2024-03-21,4,positive,The restaurant had high value for money. Cuisine was greek style. I ordered Caesar Salad and the experience was positive.,4,5,4,1
143,7878,11590,368,2024-01-03,5,positive,The restaurant had fast delivery. Cuisine was seafood style. I ordered Lentil Soup and the experience was positive.,5,4,4,1
144,14693,5832,370,2025-07-30,5,positive,The restaurant had high value for money. Cuisine was thai style. I ordered Quesadilla and the experience was positive.,5,4,5,1
145,5911,7324,371,2025-07-30,3,neutral,The restaurant had good location. Cuisine was seafood style. I ordered Calamari and the experience was neutral.,2,3,3,0
146,7893,6441,372,2025-10-06,3,neutral,The restaurant had reasonable prices. Cuisine was mexican style. I ordered Nachos and the experience was neutral.,4,4,4,0
147,2254,6297,374,2024-10-10,3,neutral,The restaurant had good location. Cuisine was burger style. I ordered Dal Tadka and the experience was neutral.,4,4,2,0
148,14425,10725,375,2024-05-22,3,neutral,The restaurant had okay for quick lunch. Cuisine was cafe style. I ordered Baklava and the experience was neutral.,3,2,4,0
149,2684,4304,376,2025-01-29,4,positive,The restaurant had high value for money. Cuisine was thai style. I ordered Baklava and the experience was positive.,5,5,3,1
150,1221,5431,377,2025-05-14,5,positive,The restaurant had fresh ingredients. Cuisine was italian style. I ordered Dumplings and the experience was positive.,5,5,5,1
151,10309,2719,378,2025-08-31,2,negative,The restaurant had not clean enough. Cuisine was greek style. I ordered Pasta Alfredo and the experience was negative.,2,2,2,0
152,13278,6480,379,2025-12-27,3,neutral,The restaurant had standard menu. Cuisine was seafood style. I ordered Biryani and the experience was neutral.,4,3,4,0
153,14303,4401,380,2024-04-24,3,neutral,The restaurant had okay for quick lunch. Cuisine was indian style. I ordered Greek Salad and the experience was neutral.,3,4,3,0
154,9479,3521,381,2024-03-04,5,positive,The restaurant had high value for money. Cuisine was cafe style. I ordered Naan and the experience was positive.,5,4,5,1
155,12582,5998,382,2024-07-15,4,positive,The restaurant had clean place. Cuisine was vegan style. I ordered Tofu Bowl and the experience was positive.,3,3,4,1
156,11104,10268,390,2024-12-07,5,positive,The restaurant had recommended for dinner. Cuisine was burger style. I ordered Fries and the experience was positive.,4,5,5,1
157,3745,9118,392,2025-05-17,5,positive,The restaurant had delicious food. Cuisine was mediterranean style. I ordered Tiramisu and the experience was positive.,5,4,5,1
158,11277,10670,394,2024-03-18,3,neutral,The restaurant had standard menu. Cuisine was sushi style. I ordered Milkshake and the experience was neutral.,2,3,4,0
159,6030,309,397,2024-02-10,4,positive,The restaurant had friendly staff. Cuisine was greek style. I ordered Fried Rice and the experience was positive.,3,5,5,1
160,12654,8836,400,2024-03-31,5,positive,The restaurant had recommended for dinner. Cuisine was steakhouse style. I ordered Chocolate Cake and the experience was positive.,4,5,5,1
161,8363,3271,401,2024-12-25,3,neutral,The restaurant had average experience. Cuisine was japanese style. I ordered Ramen and the experience was neutral.,4,3,4,0
162,12958,2286,402,2025-01-12,3,neutral,The restaurant had reasonable prices. Cuisine was israeli style. I ordered Sushi Combo and the experience was neutral.,2,4,2,0
163,814,8575,404,2025-03-22,3,neutral,The restaurant had okay for quick lunch. Cuisine was asian style. I ordered Tacos and the experience was neutral.,4,3,3,0
164,7337,7037,411,2025-09-03,4,positive,The restaurant had fresh ingredients. Cuisine was italian style. I ordered Risotto and the experience was positive.,3,5,4,1
165,8572,6367,413,2024-01-11,4,positive,The restaurant had delicious food. Cuisine was thai style. I ordered Lentil Soup and the experience was positive.,3,4,5,1
166,14057,614,414,2025-06-10,5,positive,The restaurant had delicious food. Cuisine was seafood style. I ordered Baklava and the experience was positive.,4,5,5,1
167,6158,1865,415,2024-11-03,4,positive,The restaurant had fast delivery. Cuisine was italian style. I ordered Fish & Chips and the experience was positive.,5,5,5,1
168,11752,10047,417,2025-03-18,4,positive,The restaurant had high value for money. Cuisine was pizza style. I ordered Lamb Skewers and the experience was positive.,4,3,3,1
169,1202,3859,421,2024-03-30,4,positive,The restaurant had excellent service. Cuisine was pizza style. I ordered Yakitori and the experience was positive.,3,3,3,1
170,101,3872,423,2025-10-15,3,neutral,The restaurant had nothing special. Cuisine was seafood style. I ordered Kebab and the experience was neutral.,2,4,3,0
171,4364,1898,424,2025-03-02,5,positive,The restaurant had fast delivery. Cuisine was cafe style. I ordered Moussaka and the experience was positive.,5,4,4,1
172,11778,11028,427,2025-10-06,4,positive,The restaurant had delicious food. Cuisine was israeli style. I ordered Tuna Roll and the experience was positive.,3,5,4,1
173,5373,2010,431,2024-03-05,4,positive,The restaurant had friendly staff. Cuisine was seafood style. I ordered Fish & Chips and the experience was positive.,3,3,3,1
174,11226,998,432,2024-03-04,3,neutral,The restaurant had standard menu. Cuisine was indian style. I ordered Dal Tadka and the experience was neutral.,3,4,3,0
175,5202,1653,435,2024-09-07,3,neutral,The restaurant had reasonable prices. Cuisine was mediterranean style. I ordered Naan and the experience was neutral.,4,2,2,0
176,12823,11159,438,2024-12-30,4,positive,The restaurant had recommended for dinner. Cuisine was sushi style. I ordered Miso Soup and the experience was positive.,3,3,3,1
177,11941,7039,439,2024-05-25,1,negative,The restaurant had food was cold. Cuisine was japanese style. I ordered Nigiri Set and the experience was negative.,2,2,1,0
178,4329,8783,444,2024-07-26,5,positive,The restaurant had fresh ingredients. Cuisine was japanese style. I ordered Baklava and the experience was positive.,5,5,5,1
179,9167,1971,445,2024-03-05,3,neutral,The restaurant had good location. Cuisine was steakhouse style. I ordered Paneer Masala and the experience was neutral.,4,2,4,0
180,4718,756,446,2025-01-14,4,positive,The restaurant had fast delivery. Cuisine was indian style. I ordered Seafood Paella and the experience was positive.,3,5,5,1
181,10202,1491,447,2024-10-14,4,positive,The restaurant had high value for money. Cuisine was mediterranean style. I ordered Sashimi and the experience was positive.,3,3,3,1
182,2141,1785,454,2025-02-01,5,positive,The restaurant had high value for money. Cuisine was indian style. I ordered Entrecote and the experience was positive.,5,4,4,1
183,9067,4939,455,2025-02-24,5,positive,The restaurant had excellent service. Cuisine was thai style. I ordered Ceviche and the experience was positive.,4,5,5,1
184,631,6399,460,2025-01-19,5,positive,The restaurant had clean place. Cuisine was italian style. I ordered Naan and the experience was positive.,4,5,4,1
185,423,394,464,2024-01-21,2,negative,The restaurant had noisy place. Cuisine was pizza style. I ordered Sashimi and the experience was negative.,2,3,1,0
186,7628,9215,466,2025-07-17,4,positive,The restaurant had recommended for dinner. Cuisine was pizza style. I ordered Sashimi and the experience was positive.,3,5,4,1
187,7999,5186,469,2024-03-02,4,positive,The restaurant had delicious food. Cuisine was thai style. I ordered Tom Yum and the experience was positive.,3,3,5,1
188,2898,11046,471,2025-09-04,5,positive,The restaurant had high value for money. Cuisine was italian style. I ordered Tzatziki and the experience was positive.,5,5,4,1
189,4679,2121,473,2025-02-23,3,neutral,The restaurant had okay for quick lunch. Cuisine was cafe style. I ordered Tiramisu and the experience was neutral.,2,2,2,0
190,3014,11731,474,2025-10-30,4,positive,The restaurant had great atmosphere. Cuisine was burger style. I ordered Calamari and the experience was positive.,5,5,4,1
191,3727,9661,477,2024-02-06,4,positive,The restaurant had friendly staff. Cuisine was mexican style. I ordered Chicken Burger and the experience was positive.,5,4,4,1
192,3060,1572,480,2024-06-13,5,positive,The restaurant had clean place. Cuisine was steakhouse style. I ordered Kebab and the experience was positive.,4,5,4,1
193,10187,1401,482,2024-04-20,4,positive,The restaurant had fresh ingredients. Cuisine was mediterranean style. I ordered Calamari and the experience was positive.,5,5,3,1
