order_id,customer_id,restaurant_id,order_datetime,order_channel,party_size,total_amount,discount_amount,delivery_minutes,order_status
69,8083,5878,2025-11-23 14:24:00,takeaway,2,179.97,0.0,0,completed
70,11277,11354,2024-02-24 23:47:00,delivery,1,214.37,0.0,74,completed
71,2102,5400,2025-03-01 10:46:00,dine_in,1,307.35,46.1,0,completed
72,8378,7454,2025-04-21 19:51:00,delivery,8,242.23,12.11,28,completed
73,1089,296,2024-05-23 21:43:00,delivery,8,86.27,0.0,16,completed
74,3346,10491,2024-01-28 11:15:00,app,5,377.54,0.0,0,completed
75,5988,33,2024-02-23 22:47:00,dine_in,2,267.81,13.39,0,completed
76,10922,10553,2024-11-26 10:02:00,takeaway,4,231.9,0.0,0,completed
77,12797,2322,2024-12-02 15:42:00,delivery,4,87.01,8.7,61,completed
78,13227,784,2024-11-08 16:49:00,website,5,278.84,0.0,0,completed
79,2235,9741,2024-03-28 13:34:00,takeaway,4,376.02,18.8,0,completed
80,14822,463,2025-05-08 19:04:00,takeaway,5,140.8,0.0,0,completed
81,7665,1167,2025-01-03 19:44:00,delivery,1,105.42,10.54,30,completed
82,5294,2815,2024-07-17 11:12:00,dine_in,6,93.18,0.0,0,completed
83,8916,3439,2025-11-09 18:51:00,delivery,1,1310.15,196.52,57,completed
84,2531,3206,2025-10-17 11:57:00,dine_in,8,199.02,0.0,0,refunded
85,27,5657,2025-01-03 16:48:00,delivery,4,247.13,24.71,65,completed
86,8488,1089,2025-03-12 22:37:00,delivery,8,950.51,0.0,13,completed
87,4850,1410,2024-05-12 14:04:00,dine_in,1,149.28,0.0,0,completed
88,8484,7985,2025-12-05 19:36:00,delivery,2,347.61,52.14,23,completed
89,12003,2704,2024-02-23 11:26:00,app,2,319.56,31.96,0,completed
90,11860,8273,2025-06-11 19:09:00,delivery,7,312.8,0.0,72,completed
91,7190,3099,2024-08-26 23:20:00,app,7,39.09,0.0,0,completed
92,7957,7021,2024-09-06 18:47:00,takeaway,2,1001.56,100.16,0,completed
93,5768,4484,2024-05-02 20:21:00,dine_in,8,185.86,0.0,0,cancelled
94,6672,3617,2025-03-20 21:21:00,dine_in,2,607.24,0.0,0,cancelled
95,3217,729,2024-08-13 10:55:00,dine_in,4,92.1,0.0,0,completed
96,8165,4119,2024-09-17 17:03:00,delivery,2,628.86,0.0,55,completed
97,8026,9572,2024-08-26 16:36:00,delivery,1,641.82,0.0,64,completed
98,10554,4925,2025-08-01 23:49:00,dine_in,2,695.13,34.76,0,completed
99,9331,10253,2024-08-17 23:47:00,dine_in,2,1124.35,0.0,0,completed
100,8792,11045,2024-04-07 21:55:00,dine_in,6,377.76,0.0,0,completed
101,2452,8937,2025-10-26 12:09:00,takeaway,8,410.45,0.0,0,completed
102,7120,6537,2025-06-06 23:41:00,delivery,2,45.0,0.0,18,completed
103,9776,8960,2025-06-04 14:22:00,delivery,2,164.36,0.0,29,completed
104,4195,1474,2025-01-20 23:15:00,website,2,118.78,17.82,0,completed
105,238,2497,2025-08-30 13:48:00,delivery,6,662.32,0.0,48,completed
106,14664,11428,2025-11-25 12:52:00,delivery,3,368.99,55.35,26,completed
107,1300,11499,2025-09-26 23:40:00,delivery,1,405.66,0.0,22,cancelled
108,3213,10869,2024-09-13 19:04:00,takeaway,4,275.22,0.0,0,completed
109,3669,6890,2025-10-06 15:36:00,dine_in,6,146.61,0.0,0,completed
110,9404,7702,2025-08-31 16:44:00,dine_in,7,48.99,2.45,0,completed
111,9159,8922,2025-03-01 21:29:00,delivery,3,1033.37,0.0,73,completed
112,14939,10804,2025-09-20 13:06:00,dine_in,6,400.08,0.0,0,completed
113,10253,6488,2025-09-17 16:59:00,dine_in,6,965.1,96.51,0,completed
114,7577,2218,2024-05-23 16:33:00,dine_in,5,158.19,0.0,0,completed
115,5540,4866,2024-09-13 17:21:00,delivery,1,92.1,13.81,54,completed
116,7702,1575,2024-12-02 23:40:00,dine_in,2,349.38,0.0,0,completed
117,9371,4919,2024-10-28 11:43:00,dine_in,5,162.24,24.34,0,completed
118,13590,1764,2024-08-12 19:55:00,website,7,378.59,56.79,0,completed
119,5503,2822,2024-03-16 18:54:00,dine_in,8,72.36,0.0,0,completed
120,899,3584,2024-06-23 18:15:00,dine_in,1,641.94,0.0,0,completed
121,5243,9904,2024-10-01 20:27:00,dine_in,4,622.1,93.31,0,completed
122,8480,10446,2025-08-25 13:52:00,delivery,2,243.19,0.0,25,completed
123,12198,10887,2025-06-20 20:57:00,app,6,204.39,10.22,0,completed
124,6295,130,2024-02-09 19:15:00,website,2,726.08,36.3,0,completed
125,2202,1551,2025-05-25 17:20:00,delivery,2,75.06,0.0,75,completed
126,4466,875,2024-08-11 17:27:00,dine_in,1,405.26,20.26,0,completed
127,13260,2406,2025-11-21 15:45:00,delivery,8,554.57,0.0,52,completed
128,9237,7499,2025-08-08 12:02:00,app,5,1102.5,110.25,0,completed
129,641,5976,2025-11-07 17:52:00,website,4,132.0,0.0,0,completed
130,4782,2386,2025-02-01 19:19:00,website,7,162.23,16.22,0,cancelled
131,8470,5497,2025-03-04 11:41:00,delivery,6,480.57,24.03,54,completed
132,5398,10937,2024-03-12 10:10:00,dine_in,1,164.1,0.0,0,completed
133,6836,3319,2025-04-06 14:51:00,app,8,115.07,17.26,0,completed
134,141,6524,2025-07-25 19:30:00,app,8,332.32,0.0,0,completed
135,8143,675,2024-03-16 18:53:00,delivery,3,304.14,0.0,29,completed
136,8756,2659,2025-10-23 18:29:00,app,6,212.61,10.63,0,completed
137,5768,6363,2025-06-11 17:45:00,app,3,438.14,0.0,0,completed
138,11050,7911,2025-11-30 17:30:00,app,2,293.94,0.0,0,completed
139,9262,1886,2025-01-30 13:59:00,app,3,443.99,0.0,0,completed
140,4183,5657,2024-05-09 10:07:00,takeaway,5,455.62,22.78,0,completed
141,1955,808,2024-07-05 14:16:00,takeaway,7,191.63,9.58,0,completed
142,348,5868,2025-12-22 13:12:00,dine_in,6,98.37,0.0,0,completed
143,12084,1446,2024-12-08 11:55:00,takeaway,8,110.88,0.0,0,completed
144,3273,2484,2024-01-06 11:47:00,app,4,604.52,60.45,0,cancelled
145,8215,9731,2025-06-13 23:33:00,takeaway,7,144.16,0.0,0,completed
146,3413,2687,2025-12-13 10:15:00,dine_in,1,198.94,0.0,0,completed
147,5351,1818,2025-02-28 20:21:00,delivery,6,308.82,0.0,54,completed
148,4274,11379,2024-05-13 11:17:00,dine_in,7,215.82,0.0,0,completed
149,9478,1074,2024-03-29 21:40:00,delivery,3,387.63,0.0,15,cancelled
150,13049,6835,2025-06-27 22:24:00,app,6,45.0,4.5,0,completed
151,14096,613,2024-10-31 16:33:00,delivery,3,162.48,0.0,53,completed
152,4077,7949,2024-10-22 23:56:00,delivery,2,388.29,58.24,36,completed
153,1143,3047,2025-03-21 20:03:00,dine_in,3,212.4,0.0,0,refunded
154,5068,279,2025-06-08 12:25:00,delivery,4,328.4,0.0,63,completed
155,12061,9703,2025-12-26 17:14:00,delivery,1,243.29,36.49,63,completed
156,7500,4113,2024-07-11 23:14:00,app,6,413.01,0.0,0,completed
157,2197,7243,2025-08-18 18:56:00,dine_in,8,59.82,5.98,0,completed
158,9315,932,2024-12-21 14:49:00,dine_in,5,347.65,0.0,0,completed
159,7093,11066,2025-04-24 12:29:00,takeaway,8,207.98,0.0,0,completed
160,6513,3356,2024-06-25 12:17:00,dine_in,2,463.54,0.0,0,completed
161,5010,5970,2025-10-06 18:14:00,delivery,1,305.27,15.26,12,completed
162,5795,11867,2025-10-07 15:31:00,takeaway,7,320.44,0.0,0,completed
163,2942,2849,2024-05-18 16:21:00,app,6,251.18,0.0,0,completed
164,5472,2655,2025-09-23 12:47:00,delivery,8,232.71,0.0,55,completed
165,1980,527,2025-01-23 22:50:00,dine_in,8,245.93,36.89,0,completed
166,4988,5800,2024-01-25 19:03:00,delivery,8,856.23,0.0,29,completed
167,2668,4374,2025-01-04 18:45:00,delivery,2,675.43,33.77,29,completed
168,4673,1145,2024-05-08 10:06:00,app,6,744.12,111.62,0,completed
169,14260,4976,2024-02-24 12:50:00,dine_in,6,484.53,0.0,0,completed
170,3163,10381,2025-03-28 18:45:00,dine_in,7,137.56,0.0,0,completed
171,10754,4347,2024-05-29 19:20:00,delivery,8,216.18,32.43,47,completed
172,233,4496,2025-07-26 18:51:00,website,4,338.88,33.89,0,completed
173,9325,6188,2025-12-26 11:27:00,delivery,5,335.35,16.77,54,completed
174,7428,11280,2024-08-30 22:31:00,takeaway,4,437.02,0.0,0,completed
175,1487,10028,2024-01-19 12:51:00,delivery,7,184.77,18.48,40,completed
176,11484,9682,2025-10-26 22:20:00,delivery,3,79.02,0.0,27,completed
177,4722,10048,2025-06-04 17:54:00,takeaway,4,185.37,0.0,0,completed
178,7033,3530,2025-08-16 14:56:00,dine_in,8,173.8,0.0,0,completed
179,11089,3681,2025-09-29 20:23:00,dine_in,8,150.16,15.02,0,cancelled
180,11943,10741,2025-08-21 21:25:00,delivery,8,141.79,14.18,50,completed
181,6505,2312,2024-04-16 16:34:00,dine_in,6,527.47,0.0,0,completed
182,5536,11834,2024-03-26 22:40:00,delivery,4,161.92,0.0,62,completed
183,13188,4478,2024-11-14 12:03:00,delivery,5,192.3,19.23,25,completed
184,8119,6376,2025-02-02 22:12:00,takeaway,8,523.71,78.56,0,completed
185,13428,7028,2025-03-13 22:19:00,delivery,4,79.16,11.87,12,completed
186,4784,1835,2025-09-01 18:45:00,dine_in,1,970.19,97.02,0,completed
187,6978,2860,2025-07-25 22:01:00,dine_in,5,573.4,0.0,0,completed
188,9993,2174,2024-06-27 11:53:00,app,3,1127.66,169.15,0,completed
189,8654,10434,2025-09-28 15:43:00,takeaway,6,203.72,30.56,0,completed
190,9567,7158,2024-07-25 15:53:00,dine_in,2,246.8,0.0,0,cancelled
191,12751,1974,2024-04-08 10:42:00,dine_in,3,889.88,44.49,0,completed
192,12352,2021,2025-04-22 11:22:00,takeaway,3,133.91,0.0,0,completed
193,5330,2620,2025-06-20 17:56:00,takeaway,4,296.7,0.0,0,completed
194,5876,2699,2024-02-06 11:34:00,website,2,76.08,7.61,0,completed
195,2922,5226,2025-04-25 18:43:00,app,7,311.3,31.13,0,completed
196,7128,2855,2025-08-21 11:40:00,dine_in,2,226.72,34.01,0,completed
197,6054,5493,2025-09-30 16:38:00,delivery,4,511.2,0.0,64,completed
198,5337,7573,2025-06-05 16:02:00,takeaway,7,308.06,30.81,0,completed
199,13657,417,2024-08-04 15:54:00,app,7,523.68,26.18,0,completed
200,11755,3909,2025-12-07 14:29:00,dine_in,5,184.63,0.0,0,completed
201,12720,5006,2025-07-08 16:31:00,dine_in,7,203.29,10.16,0,completed
202,7254,2704,2025-08-31 14:04:00,delivery,1,220.49,0.0,30,completed
203,9272,9772,2025-06-30 18:28:00,app,1,116.1,5.8,0,completed
204,3023,1917,2025-08-22 21:51:00,delivery,4,582.8,29.14,61,completed
205,891,5713,2024-03-02 13:00:00,dine_in,8,255.68,0.0,0,completed
206,5452,2061,2025-12-16 16:55:00,delivery,1,441.69,22.08,42,completed
207,11523,5679,2025-12-29 17:06:00,dine_in,2,612.85,30.64,0,completed
208,6185,2532,2025-06-07 23:50:00,takeaway,6,633.87,63.39,0,completed
209,12557,8320,2024-09-11 17:46:00,dine_in,2,558.96,83.84,0,completed
210,12953,11608,2024-01-26 16:43:00,app,2,179.84,26.98,0,completed
211,6975,1348,2024-10-04 14:17:00,delivery,1,70.76,7.08,51,completed
212,3112,546,2024-09-24 21:01:00,takeaway,8,1327.98,0.0,0,completed
213,7931,3476,2024-05-31 20:27:00,dine_in,2,114.42,17.16,0,completed
214,566,1549,2025-04-11 21:52:00,dine_in,8,136.98,0.0,0,completed
215,11179,10114,2024-09-19 14:43:00,takeaway,1,251.89,0.0,0,completed
216,3718,4957,2025-04-16 15:18:00,delivery,6,571.9,57.19,25,completed
217,6502,1907,2024-01-07 18:01:00,delivery,1,302.61,15.13,21,completed
218,11241,10882,2024-06-26 12:16:00,takeaway,8,279.1,13.96,0,completed
219,12870,4285,2025-12-22 17:01:00,takeaway,3,146.18,21.93,0,completed
220,10207,7342,2024-07-07 18:34:00,dine_in,1,217.62,10.88,0,completed
221,5700,5956,2024-04-28 13:01:00,takeaway,8,150.15,7.51,0,completed
222,11301,1795,2024-10-19 18:20:00,delivery,6,304.39,0.0,35,completed
223,13897,3631,2024-05-19 18:31:00,dine_in,6,463.56,23.18,0,completed
224,418,8017,2025-09-28 17:44:00,delivery,6,80.08,0.0,16,completed
225,7840,3982,2024-10-08 17:46:00,delivery,8,147.68,22.15,25,completed
226,448,95,2024-06-07 11:44:00,delivery,8,129.91,6.5,28,completed
227,7858,3576,2025-11-17 16:25:00,app,2,135.82,0.0,0,completed
228,4545,1535,2025-06-05 21:26:00,dine_in,8,131.0,0.0,0,cancelled
229,7030,99,2025-05-15 14:25:00,delivery,2,173.73,0.0,72,completed
230,9002,7599,2025-10-04 12:40:00,dine_in,5,290.81,43.62,0,completed
231,3645,3086,2025-04-03 10:23:00,delivery,1,219.41,21.94,13,refunded
232,14730,1555,2024-09-13 17:53:00,delivery,6,516.65,0.0,27,completed
233,5214,9294,2024-03-20 23:20:00,takeaway,5,180.18,18.02,0,completed
234,5357,10874,2024-05-10 18:45:00,takeaway,5,383.23,57.48,0,completed
235,1029,5810,2024-09-28 17:19:00,takeaway,5,719.59,0.0,0,completed
236,14803,3783,2025-09-25 15:43:00,dine_in,8,207.23,20.72,0,completed
237,1117,4656,2024-02-16 11:48:00,dine_in,6,172.4,17.24,0,cancelled
238,5366,8831,2025-01-15 14:00:00,takeaway,2,209.73,20.97,0,completed
239,4328,2603,2024-10-31 15:31:00,website,3,612.84,0.0,0,completed
240,12247,9418,2024-08-23 14:42:00,dine_in,2,130.4,19.56,0,completed
241,14196,7628,2024-04-30 15:33:00,delivery,7,282.38,0.0,35,completed
242,35,2219,2024-10-10 12:43:00,website,8,475.44,23.77,0,completed
243,11054,1719,2025-12-21 13:01:00,app,7,707.02,106.05,0,completed
244,4892,8257,2024-11-02 11:35:00,dine_in,4,346.59,51.99,0,completed
245,1693,1537,2025-01-15 20:47:00,app,6,325.29,0.0,0,completed
246,14963,858,2024-11-17 13:40:00,website,8,395.08,19.75,0,completed
247,5497,8697,2024-12-05 10:16:00,app,5,224.37,0.0,0,completed
248,12881,10138,2025-02-27 10:35:00,delivery,1,230.37,0.0,50,completed
249,10517,6266,2024-04-10 10:56:00,delivery,3,1074.89,107.49,69,completed
250,12027,7840,2024-07-24 16:15:00,dine_in,2,133.88,0.0,0,completed
251,5993,5181,2025-06-18 16:03:00,app,4,161.4,16.14,0,completed
252,7009,9361,2024-05-08 15:25:00,takeaway,2,164.52,0.0,0,completed
253,12272,6261,2025-04-14 16:22:00,delivery,1,150.63,7.53,68,completed
254,10399,9190,2025-10-12 12:46:00,website,8,220.97,0.0,0,completed
255,642,9759,2025-11-24 20:03:00,dine_in,7,401.04,0.0,0,completed
256,3040,9585,2024-02-17 12:43:00,website,6,216.2,0.0,0,completed
257,1663,4969,2025-04-15 14:11:00,takeaway,7,647.09,64.71,0,completed
258,13442,11201,2024-12-22 14:19:00,dine_in,6,82.39,8.24,0,completed
259,5069,5113,2025-11-28 10:32:00,app,8,290.65,29.07,0,completed
260,5596,5923,2024-10-20 18:19:00,delivery,1,150.4,22.56,56,completed
261,1254,10671,2025-07-27 17:59:00,dine_in,7,905.73,0.0,0,completed
262,14974,103,2024-10-13 21:05:00,takeaway,4,189.87,0.0,0,completed
263,8936,11811,2024-09-12 22:12:00,delivery,1,173.89,0.0,41,completed
264,546,7829,2025-08-25 13:32:00,delivery,1,126.28,6.31,27,completed
265,6052,11204,2025-11-06 12:57:00,dine_in,5,605.72,0.0,0,completed
266,4714,9969,2025-01-21 10:13:00,takeaway,1,90.0,9.0,0,cancelled
267,2967,148,2025-07-12 12:23:00,delivery,2,113.34,0.0,67,completed
268,4916,9154,2024-04-10 19:05:00,app,3,200.88,0.0,0,completed
269,824,11998,2024-09-02 15:48:00,dine_in,1,341.71,17.09,0,completed
270,6094,3348,2024-09-15 15:39:00,dine_in,3,45.0,6.75,0,completed
271,4238,254,2024-10-08 13:26:00,delivery,7,581.25,0.0,36,cancelled
272,4047,11917,2024-11-13 16:17:00,app,6,207.27,0.0,0,completed
273,1182,7367,2024-05-19 15:28:00,app,3,920.4,0.0,0,completed
274,2400,3875,2025-02-03 15:50:00,dine_in,2,166.78,8.34,0,completed
275,4186,6109,2024-08-08 10:34:00,delivery,7,334.53,33.45,64,completed
276,1578,579,2025-07-24 22:56:00,app,2,2020.02,303.0,0,completed
277,8048,2196,2024-09-29 15:57:00,takeaway,4,254.05,0.0,0,completed
278,3336,8449,2025-06-20 19:28:00,dine_in,4,508.09,0.0,0,completed
279,6586,6071,2024-03-15 19:39:00,dine_in,7,1043.55,0.0,0,completed
280,13398,9606,2025-10-01 16:13:00,dine_in,6,139.16,20.87,0,completed
281,10192,10835,2024-01-01 14:05:00,takeaway,5,1310.26,0.0,0,completed
282,8364,11794,2025-12-19 15:54:00,dine_in,3,133.63,20.04,0,completed
283,12502,3039,2025-03-21 17:59:00,dine_in,8,1151.19,172.68,0,completed
284,8181,1254,2025-07-28 14:43:00,dine_in,1,362.66,0.0,0,completed
285,1565,3405,2025-05-04 15:31:00,website,7,207.04,20.7,0,completed
286,8117,8297,2024-04-22 18:49:00,dine_in,2,291.34,0.0,0,completed
287,6805,836,2025-05-25 18:09:00,dine_in,1,634.71,95.21,0,completed
288,6227,10652,2024-04-06 23:09:00,delivery,5,381.54,19.08,12,completed
289,11573,3076,2024-03-03 19:37:00,dine_in,2,545.1,0.0,0,completed
290,11829,2916,2024-06-08 15:28:00,delivery,7,1319.22,0.0,68,completed
291,9494,6885,2024-10-12 22:32:00,takeaway,8,592.42,0.0,0,completed
292,2513,8909,2024-12-14 18:01:00,website,6,56.65,0.0,0,completed
293,10635,11039,2024-10-28 14:27:00,takeaway,4,460.91,23.05,0,completed
294,5554,1373,2025-01-22 19:52:00,app,8,170.63,0.0,0,completed
295,5023,1940,2025-02-24 18:30:00,dine_in,8,160.51,16.05,0,completed
296,10728,1124,2024-12-27 23:00:00,website,7,187.4,18.74,0,completed
297,2515,3410,2024-11-02 13:09:00,delivery,1,386.17,38.62,55,completed
298,4126,10848,2024-03-29 13:44:00,app,5,444.09,44.41,0,cancelled
299,8514,8646,2024-08-30 11:15:00,delivery,8,428.14,42.81,26,completed
300,8035,2956,2024-06-29 18:44:00,takeaway,7,435.69,21.78,0,completed
301,4100,1954,2025-05-24 19:32:00,delivery,4,347.77,52.17,20,completed
302,2817,5911,2025-09-22 19:25:00,delivery,7,1156.2,0.0,66,completed
303,12931,4940,2024-07-31 17:08:00,website,5,198.45,9.92,0,completed
304,7732,9848,2025-05-23 12:39:00,dine_in,6,55.3,5.53,0,completed
305,8987,3779,2025-08-03 10:25:00,delivery,8,151.71,0.0,46,completed
306,9099,5440,2024-06-26 11:57:00,delivery,4,739.89,0.0,51,completed
307,14099,9213,2024-03-27 23:18:00,delivery,4,104.58,0.0,28,completed
308,12521,4324,2024-10-25 16:38:00,delivery,5,336.65,0.0,27,completed
309,890,6208,2024-01-17 14:53:00,delivery,3,581.96,58.2,16,completed
310,14451,654,2024-07-21 16:23:00,dine_in,1,685.35,34.27,0,completed
311,7091,6453,2025-11-06 19:19:00,delivery,1,885.21,0.0,35,completed
312,13068,1953,2024-12-31 18:17:00,takeaway,6,193.68,19.37,0,completed
313,7704,7329,2025-09-04 17:20:00,takeaway,7,140.17,7.01,0,completed
314,11633,9616,2024-08-16 23:42:00,dine_in,5,271.02,13.55,0,completed
315,3709,911,2025-12-29 10:27:00,dine_in,5,30.24,3.02,0,completed
316,10215,1508,2024-12-22 23:03:00,delivery,6,286.26,28.63,48,completed
317,9530,7597,2025-09-19 17:42:00,delivery,3,237.8,0.0,17,completed
318,947,3689,2025-10-03 12:05:00,delivery,3,415.9,20.8,51,cancelled
319,6938,5997,2024-02-03 19:51:00,dine_in,8,15.09,1.51,0,completed
320,8523,5421,2025-01-20 10:04:00,takeaway,4,616.12,0.0,0,cancelled
321,11646,8072,2024-11-04 12:29:00,dine_in,5,154.79,0.0,0,completed
322,10542,8254,2024-11-10 13:20:00,takeaway,1,184.77,0.0,0,completed
323,13916,8192,2025-07-04 13:32:00,dine_in,2,209.4,10.47,0,completed
324,8585,8454,2025-01-06 19:31:00,app,4,130.6,0.0,0,completed
325,12922,1094,2025-10-17 22:20:00,dine_in,3,553.89,0.0,0,completed
326,14512,5433,2025-12-02 20:57:00,takeaway,2,525.51,0.0,0,completed
327,11560,2245,2024-02-20 11:28:00,delivery,7,641.24,0.0,34,completed
328,10132,10030,2025-06-21 14:36:00,dine_in,6,61.08,0.0,0,completed
329,3859,7434,2025-06-26 20:27:00,app,7,644.9,0.0,0,completed
330,5599,9000,2025-10-31 21:15:00,delivery,7,486.16,0.0,49,completed
331,2636,10269,2025-05-03 11:55:00,dine_in,4,67.88,0.0,0,completed
332,10314,8323,2024-04-11 19:29:00,delivery,7,86.71,0.0,32,completed
333,8418,30,2024-05-28 21:44:00,app,2,414.46,62.17,0,completed
334,12196,10529,2024-04-30 14:31:00,dine_in,3,1259.35,0.0,0,completed
335,7505,5961,2025-10-06 16:28:00,dine_in,2,277.2,0.0,0,completed
336,5562,11925,2025-06-20 17:32:00,delivery,1,78.08,0.0,26,completed
337,439,1619,2025-09-10 22:29:00,app,3,232.72,0.0,0,completed
338,8231,3499,2025-04-03 11:50:00,app,1,1155.07,0.0,0,completed
339,12104,9835,2025-02-10 12:56:00,delivery,7,117.34,0.0,37,completed
340,7046,6249,2025-09-29 11:52:00,delivery,5,635.49,0.0,30,completed
341,14789,8088,2024-02-22 20:33:00,delivery,3,438.88,21.94,48,completed
342,4146,7953,2024-09-14 23:23:00,website,6,587.27,0.0,0,completed
343,6796,4914,2024-02-22 12:15:00,app,7,402.88,20.14,0,completed
344,4639,6371,2025-03-06 17:32:00,delivery,3,301.46,30.15,36,completed
345,9274,2043,2024-08-31 17:35:00,dine_in,3,730.73,0.0,0,completed
346,2460,8150,2025-06-24 15:01:00,app,2,227.88,22.79,0,completed
347,591,6685,2024-02-23 21:11:00,dine_in,8,603.62,0.0,0,completed
