customer_id,age_group,city,preferred_cuisine,dietary_preference,signup_date
115,55+,Herzliya,Steakhouse,none,2024-06-20
116,35-44,Ashdod,Sushi,low_carb,2023-05-27
117,18-24,Holon,Asian,vegan,2023-02-09
118,45-54,Eilat,Steakhouse,halal,2025-05-14
119,35-44,Ramat Gan,Greek,vegetarian,2023-08-08
120,45-54,Tel Aviv,Vegan,halal,2023-10-03
121,25-34,Petah Tikva,Cafe,kosher,2025-03-25
122,55+,Rishon LeZion,Indian,low_carb,2025-02-24
123,45-54,Herzliya,Pizza,vegan,2023-01-24
124,45-54,Netanya,Burger,gluten_free,2025-05-22
125,55+,Herzliya,Indian,gluten_free,2025-07-23
126,35-44,Beer Sheva,Steakhouse,none,2025-04-27
127,35-44,Rishon LeZion,Indian,low_carb,2023-01-30
128,25-34,Rishon LeZion,Israeli,vegan,2025-03-29
129,18-24,Givatayim,Indian,kosher,2023-04-23
130,45-54,Holon,Thai,gluten_free,2025-05-11
131,25-34,Jerusalem,Indian,halal,2025-03-26
132,25-34,Herzliya,Mexican,kosher,2023-03-19
133,45-54,Jerusalem,Israeli,halal,2024-09-04
134,55+,Netanya,Thai,kosher,2025-04-21
135,35-44,Eilat,Burger,vegetarian,2024-07-14
136,25-34,Eilat,Cafe,vegetarian,2023-01-04
137,18-24,Holon,Mexican,none,2023-01-23
138,55+,Petah Tikva,Israeli,none,2023-10-14
139,45-54,Holon,Steakhouse,low_carb,2024-04-16
140,25-34,Haifa,Thai,kosher,2023-01-17
141,18-24,Kfar Saba,Thai,halal,2025-02-16
142,45-54,Netanya,Vegan,vegan,2024-10-01
143,35-44,Haifa,Pizza,low_carb,2025-01-10
144,25-34,Ramat Gan,Pizza,vegetarian,2025-05-24
145,35-44,Netanya,Mediterranean,vegetarian,2024-07-03
146,35-44,Holon,Italian,low_carb,2024-03-08
147,45-54,Herzliya,Pizza,vegetarian,2023-02-08
148,45-54,Herzliya,Greek,gluten_free,2024-08-17
149,25-34,Netanya,Sushi,vegan,2025-01-08
150,25-34,Eilat,Indian,kosher,2025-06-29
151,25-34,Ramat Gan,Seafood,gluten_free,2023-04-03
152,25-34,Jerusalem,Burger,low_carb,2024-12-15
153,18-24,Ramat Gan,Italian,gluten_free,2025-03-12
154,18-24,Beer Sheva,Seafood,kosher,2024-06-27
155,35-44,Kfar Saba,Asian,none,2024-12-11
156,55+,Netanya,Pizza,none,2024-08-20
157,35-44,Kfar Saba,Vegan,kosher,2023-08-01
158,45-54,Herzliya,Seafood,vegan,2023-05-03
159,35-44,Rehovot,Asian,halal,2023-06-14
160,25-34,Givatayim,Cafe,low_carb,2025-03-06
161,45-54,Eilat,Israeli,kosher,2024-09-10
162,18-24,Eilat,Thai,vegetarian,2024-04-28
163,45-54,Eilat,Vegan,halal,2023-12-21
164,55+,Kfar Saba,Italian,low_carb,2025-02-01
165,55+,Rehovot,Greek,vegetarian,2025-03-31
166,45-54,Ramat Gan,Vegan,vegan,2025-03-28
167,35-44,Kfar Saba,Steakhouse,low_carb,2023-09-30
168,25-34,Eilat,Vegan,low_carb,2025-04-23
169,45-54,Rishon LeZion,Burger,low_carb,2023-10-23
170,35-44,Holon,Sushi,halal,2023-06-16
171,55+,Netanya,Seafood,vegan,2025-07-09
172,25-34,Kfar Saba,Indian,kosher,2024-12-08
173,55+,Petah Tikva,Mediterranean,vegetarian,2024-11-30
174,45-54,Herzliya,Asian,halal,2023-05-29
175,18-24,Holon,Sushi,none,2025-09-13
176,55+,Herzliya,Israeli,vegetarian,2025-09-21
177,45-54,Holon,Steakhouse,low_carb,2023-07-27
178,25-34,Eilat,Sushi,gluten_free,2025-07-09
179,18-24,Haifa,Cafe,low_carb,2023-07-13
180,45-54,Haifa,Thai,low_carb,2024-05-30
181,18-24,Givatayim,Italian,low_carb,2024-06-02
182,35-44,Rehovot,Pizza,halal,2024-08-13
183,25-34,Rishon LeZion,Vegan,low_carb,2024-03-25
184,55+,Beer Sheva,Cafe,vegetarian,2025-01-20
185,35-44,Eilat,Japanese,none,2024-05-17
186,35-44,Jerusalem,Vegan,vegan,2023-01-13
187,35-44,Jerusalem,Asian,vegetarian,2025-04-21
188,25-34,Ramat Gan,Italian,vegetarian,2024-06-11
189,55+,Ashdod,Mexican,vegan,2024-12-08
190,18-24,Haifa,Vegan,gluten_free,2024-04-17
191,35-44,Beer Sheva,Asian,kosher,2024-05-13
192,35-44,Tel Aviv,Seafood,vegan,2024-11-10
193,55+,Rishon LeZion,Steakhouse,kosher,2024-06-18
194,25-34,Ashdod,Asian,low_carb,2024-11-09
195,35-44,Eilat,Vegan,vegan,2024-06-21
196,25-34,Herzliya,Seafood,kosher,2024-02-19
197,45-54,Givatayim,Indian,halal,2024-01-08
198,35-44,Netanya,Asian,kosher,2025-01-24
199,25-34,Eilat,Japanese,vegan,2023-03-04
200,18-24,Ashdod,Israeli,gluten_free,2025-09-07
201,45-54,Rehovot,Japanese,none,2024-08-19
202,25-34,Ashdod,Steakhouse,gluten_free,2024-07-08
203,18-24,Kfar Saba,Burger,low_carb,2023-12-23
204,18-24,Givatayim,Mexican,gluten_free,2023-07-22
205,35-44,Rehovot,Mexican,vegetarian,2023-07-15
206,35-44,Ramat Gan,Burger,halal,2024-08-04
207,25-34,Tel Aviv,Pizza,vegetarian,2023-05-03
208,55+,Ramat Gan,Thai,vegan,2025-05-29
209,55+,Rishon LeZion,Steakhouse,vegetarian,2024-02-05
210,35-44,Petah Tikva,Pizza,kosher,2024-02-10
211,35-44,Herzliya,Japanese,gluten_free,2023-03-12
212,55+,Ashdod,Italian,halal,2024-11-02
213,18-24,Beer Sheva,Mexican,low_carb,2023-11-19
214,25-34,Kfar Saba,Seafood,halal,2024-08-23
215,45-54,Jerusalem,Burger,vegan,2023-04-02
216,55+,Rehovot,Cafe,none,2024-04-04
217,45-54,Kfar Saba,Steakhouse,halal,2025-04-29
218,35-44,Petah Tikva,Cafe,low_carb,2025-08-05
219,25-34,Kfar Saba,Greek,vegan,2023-11-23
220,55+,Tel Aviv,Thai,vegan,2024-12-28
221,55+,Rishon LeZion,Sushi,none,2025-04-29
222,55+,Ashdod,Greek,none,2025-06-22
223,35-44,Herzliya,Israeli,low_carb,2023-08-30
224,18-24,Rehovot,Seafood,kosher,2024-10-02
225,35-44,Ashdod,Cafe,none,2023-11-26
226,18-24,Haifa,Greek,halal,2025-04-04
227,35-44,Givatayim,Mexican,kosher,2023-07-20
228,55+,Beer Sheva,Burger,gluten_free,2024-08-17
229,25-34,Kfar Saba,Asian,vegan,2023-09-28
230,35-44,Beer Sheva,Steakhouse,kosher,2024-01-11
231,35-44,Ramat Gan,Israeli,none,2025-09-13
232,25-34,Herzliya,Italian,low_carb,2023-06-11
233,18-24,Haifa,Vegan,vegetarian,2023-07-31
234,45-54,Ramat Gan,Thai,vegetarian,2024-11-13
235,18-24,Herzliya,Thai,low_carb,2024-12-24
236,25-34,Rehovot,Mediterranean,low_carb,2024-01-22
237,35-44,Haifa,Mediterranean,halal,2024-07-30
238,18-24,Ashdod,Pizza,gluten_free,2024-07-10
239,55+,Rehovot,Steakhouse,vegan,2023-03-05
240,25-34,Rehovot,Seafood,none,2024-01-25
241,45-54,Netanya,Indian,kosher,2025-07-06
242,45-54,Haifa,Mediterranean,halal,2024-01-15
243,25-34,Beer Sheva,Greek,vegetarian,2023-01-24
244,55+,Herzliya,Asian,vegan,2024-05-15
245,55+,Eilat,Seafood,low_carb,2025-03-31
246,55+,Petah Tikva,Greek,low_carb,2025-01-29
247,45-54,Ashdod,Vegan,halal,2023-05-29
248,45-54,Jerusalem,Mexican,kosher,2023-11-21
249,18-24,Tel Aviv,Israeli,low_carb,2024-10-01
250,18-24,Tel Aviv,Japanese,kosher,2023-03-22
251,45-54,Petah Tikva,Steakhouse,low_carb,2024-01-13
252,25-34,Netanya,Burger,kosher,2024-12-13
253,25-34,Netanya,Italian,halal,2024-09-02
254,35-44,Ramat Gan,Indian,none,2024-05-26
255,55+,Netanya,Steakhouse,vegetarian,2024-09-21
256,18-24,Petah Tikva,Sushi,gluten_free,2023-05-17
257,35-44,Herzliya,Pizza,none,2025-07-06
258,35-44,Netanya,Pizza,vegetarian,2024-04-14
259,35-44,Rishon LeZion,Italian,none,2023-02-25
260,55+,Petah Tikva,Seafood,vegetarian,2024-01-03
261,18-24,Jerusalem,Cafe,halal,2023-01-08
262,45-54,Ashdod,Indian,vegan,2024-10-04
263,18-24,Ashdod,Vegan,kosher,2025-05-29
264,55+,Netanya,Thai,low_carb,2023-07-30
265,45-54,Netanya,Cafe,none,2023-10-28
266,25-34,Herzliya,Italian,none,2025-09-04
267,18-24,Ashdod,Seafood,low_carb,2024-11-02
268,35-44,Netanya,Indian,halal,2024-01-08
269,35-44,Eilat,Italian,halal,2023-04-25
270,55+,Givatayim,Cafe,vegetarian,2025-07-15
271,35-44,Jerusalem,Indian,gluten_free,2024-01-01
272,55+,Kfar Saba,Thai,vegan,2023-03-18
273,25-34,Rehovot,Steakhouse,vegan,2024-08-22
274,25-34,Rehovot,Asian,vegetarian,2025-01-17
275,18-24,Netanya,Mexican,none,2024-01-28
276,45-54,Tel Aviv,Japanese,halal,2023-06-22
277,18-24,Jerusalem,Burger,halal,2024-12-05
278,45-54,Petah Tikva,Greek,low_carb,2024-07-14
279,55+,Ramat Gan,Burger,kosher,2023-01-17
280,35-44,Rishon LeZion,Italian,kosher,2023-10-12
281,35-44,Haifa,Thai,vegan,2023-02-02
282,18-24,Herzliya,Italian,low_carb,2025-07-10
283,25-34,Petah Tikva,Asian,vegan,2025-08-14
284,25-34,Jerusalem,Asian,kosher,2024-11-09
285,18-24,Eilat,Italian,low_carb,2023-08-09
286,25-34,Eilat,Burger,vegan,2024-03-25
287,35-44,Petah Tikva,Vegan,vegetarian,2024-05-16
288,45-54,Beer Sheva,Sushi,halal,2023-03-17
289,35-44,Netanya,Steakhouse,none,2024-09-22
290,25-34,Netanya,Seafood,kosher,2023-10-03
291,35-44,Holon,Steakhouse,low_carb,2023-01-03
292,45-54,Netanya,Vegan,low_carb,2024-12-03
293,35-44,Holon,Mediterranean,halal,2023-06-19
294,55+,Petah Tikva,Sushi,low_carb,2024-04-06
295,25-34,Ashdod,Israeli,vegan,2025-04-06
296,55+,Petah Tikva,Mexican,kosher,2023-04-19
297,25-34,Haifa,Mediterranean,vegetarian,2023-10-31
298,45-54,Rishon LeZion,Mediterranean,vegetarian,2023-03-09
299,55+,Jerusalem,Greek,gluten_free,2023-02-06
300,25-34,Holon,Burger,low_carb,2023-10-06
301,35-44,Kfar Saba,Indian,vegan,2023-06-14
302,25-34,Rehovot,Greek,low_carb,2025-08-18
303,35-44,Kfar Saba,Seafood,gluten_free,2023-02-24
304,45-54,Givatayim,Indian,vegan,2023-05-15
305,45-54,Ashdod,Burger,none,2024-01-11
306,45-54,Netanya,Indian,vegan,2025-07-15
307,45-54,Jerusalem,Pizza,low_carb,2024-04-30
308,45-54,Givatayim,Pizza,kosher,2023-07-12
309,35-44,Givatayim,Seafood,low_carb,2023-11-30
310,18-24,Netanya,Pizza,low_carb,2023-03-25
311,55+,Holon,Sushi,halal,2023-07-12
312,18-24,Rishon LeZion,Israeli,none,2024-11-29
313,55+,Ramat Gan,Asian,vegan,2024-02-11
314,35-44,Ashdod,Seafood,low_carb,2023-04-04
315,45-54,Givatayim,Greek,halal,2024-11-06
316,18-24,Givatayim,Japanese,gluten_free,2023-08-29
317,55+,Eilat,Greek,halal,2023-06-03
318,55+,Rishon LeZion,Israeli,none,2025-01-27
319,25-34,Ramat Gan,Indian,kosher,2025-05-15
320,55+,Haifa,Sushi,low_carb,2024-01-28
321,35-44,Rishon LeZion,Cafe,low_carb,2023-04-11
322,55+,Ashdod,Israeli,vegan,2024-12-19
323,45-54,Herzliya,Mexican,vegan,2023-12-07
324,55+,Kfar Saba,Seafood,vegetarian,2025-09-21
325,25-34,Rishon LeZion,Cafe,low_carb,2024-12-27
326,35-44,Rehovot,Sushi,vegetarian,2023-09-06
327,35-44,Haifa,Pizza,kosher,2023-07-09
328,35-44,Rehovot,Steakhouse,none,2024-11-26
329,45-54,Rishon LeZion,Italian,vegetarian,2023-05-05
330,18-24,Herzliya,Seafood,vegetarian,2023-11-15
331,45-54,Eilat,Vegan,vegetarian,2024-07-22
332,35-44,Kfar Saba,Mexican,gluten_free,2025-02-26
333,18-24,Jerusalem,Japanese,none,2025-07-30
334,35-44,Tel Aviv,Asian,halal,2024-06-26
335,45-54,Rishon LeZion,Pizza,vegetarian,2024-04-02
336,18-24,Ashdod,Steakhouse,vegetarian,2024-03-11
337,35-44,Ashdod,Sushi,low_carb,2025-09-08
338,35-44,Netanya,Asian,halal,2023-09-26
339,25-34,Haifa,Israeli,low_carb,2023-02-16
340,25-34,Herzliya,Burger,vegan,2023-03-12
341,18-24,Netanya,Japanese,halal,2024-04-10
342,25-34,Rehovot,Sushi,vegan,2023-09-13
343,18-24,Rehovot,Indian,low_carb,2024-05-23
344,25-34,Petah Tikva,Thai,vegetarian,2023-10-10
345,25-34,Tel Aviv,Asian,halal,2023-06-21
346,18-24,Ashdod,Indian,vegan,2023-09-17
347,35-44,Holon,Asian,low_carb,2024-03-23
348,25-34,Holon,Sushi,kosher,2025-01-27
349,35-44,Haifa,Pizza,kosher,2024-02-26
350,18-24,Petah Tikva,Israeli,vegetarian,2024-07-30
351,45-54,Herzliya,Seafood,vegan,2025-02-28
352,18-24,Beer Sheva,Indian,kosher,2025-02-23
353,45-54,Beer Sheva,Mexican,kosher,2023-07-24
354,18-24,Petah Tikva,Japanese,none,2023-10-15
355,55+,Kfar Saba,Israeli,kosher,2024-12-25
356,18-24,Netanya,Steakhouse,kosher,2024-04-15
357,35-44,Netanya,Mexican,halal,2024-09-11
358,35-44,Petah Tikva,Israeli,low_carb,2023-01-06
359,45-54,Jerusalem,Sushi,gluten_free,2023-10-08
360,18-24,Haifa,Cafe,kosher,2024-08-13
361,35-44,Kfar Saba,Italian,halal,2025-07-29
362,45-54,Givatayim,Sushi,gluten_free,2024-12-27
363,18-24,Tel Aviv,Indian,gluten_free,2024-06-30
364,25-34,Kfar Saba,Cafe,gluten_free,2024-09-04
365,18-24,Holon,Greek,vegetarian,2024-10-01
366,25-34,Netanya,Vegan,gluten_free,2024-12-05
367,18-24,Eilat,Italian,low_carb,2024-01-25
368,55+,Givatayim,Vegan,halal,2023-01-29
369,18-24,Jerusalem,Seafood,low_carb,2024-03-10
370,45-54,Haifa,Steakhouse,low_carb,2024-03-08
371,55+,Herzliya,Asian,none,2024-11-06
372,55+,Netanya,Burger,gluten_free,2025-01-21
373,55+,Herzliya,Mexican,low_carb,2024-04-09
374,35-44,Haifa,Greek,low_carb,2024-07-16
375,55+,Netanya,Italian,halal,2025-03-08
376,18-24,Beer Sheva,Italian,kosher,2024-05-27
377,25-34,Haifa,Indian,none,2024-08-25
378,35-44,Tel Aviv,Thai,halal,2025-07-25
379,18-24,Rehovot,Italian,low_carb,2023-10-27
380,18-24,Holon,Steakhouse,low_carb,2024-09-16
381,25-34,Herzliya,Sushi,vegan,2024-06-26
382,55+,Ashdod,Seafood,vegetarian,2025-07-19
383,35-44,Petah Tikva,Italian,none,2024-10-12
384,45-54,Herzliya,Italian,vegetarian,2025-03-22
385,18-24,Holon,Cafe,vegan,2023-10-30
386,35-44,Herzliya,Greek,vegan,2023-03-14
387,18-24,Netanya,Israeli,kosher,2023-02-18
388,45-54,Ashdod,Seafood,vegetarian,2024-01-05
389,55+,Ashdod,Indian,low_carb,2024-07-19
390,18-24,Haifa,Asian,low_carb,2024-09-23
391,35-44,Petah Tikva,Asian,gluten_free,2024-08-10
392,45-54,Ramat Gan,Burger,vegetarian,2023-01-22
393,35-44,Ashdod,Indian,vegetarian,2023-10-06
394,35-44,Petah Tikva,Pizza,none,2023-04-29
395,45-54,Petah Tikva,Burger,kosher,2023-06-05
396,18-24,Netanya,Burger,low_carb,2024-02-21
397,55+,Rishon LeZion,Greek,low_carb,2025-02-09
398,18-24,Haifa,Mediterranean,gluten_free,2024-05-30
399,55+,Kfar Saba,Mediterranean,kosher,2024-05-18
400,25-34,Eilat,Thai,vegan,2023-09-16
401,25-34,Herzliya,Italian,vegetarian,2025-04-11
402,45-54,Tel Aviv,Seafood,none,2024-11-07
403,55+,Givatayim,Sushi,gluten_free,2025-05-05
404,18-24,Netanya,Thai,gluten_free,2024-05-04
405,18-24,Haifa,Mexican,vegan,2023-09-17
406,25-34,Petah Tikva,Mexican,halal,2024-04-17
407,55+,Petah Tikva,Mexican,vegetarian,2023-03-04
408,45-54,Netanya,Steakhouse,gluten_free,2024-02-02
409,25-34,Ramat Gan,Mediterranean,kosher,2024-09-12
410,55+,Jerusalem,Steakhouse,vegetarian,2023-02-09
411,45-54,Jerusalem,Indian,kosher,2024-04-07
412,35-44,Holon,Sushi,low_carb,2024-06-28
413,35-44,Ramat Gan,Burger,kosher,2024-12-11
414,55+,Rehovot,Sushi,gluten_free,2024-12-29
415,18-24,Ramat Gan,Indian,none,2023-04-02
416,25-34,Netanya,Japanese,none,2025-01-14
417,35-44,Rishon LeZion,Vegan,vegetarian,2024-04-28
418,55+,Kfar Saba,Steakhouse,kosher,2025-05-08
419,18-24,Ashdod,Japanese,kosher,2023-06-20
420,45-54,Petah Tikva,Burger,none,2023-03-12
421,25-34,Ashdod,Israeli,halal,2024-07-15
422,35-44,Tel Aviv,Cafe,halal,2024-03-08
423,45-54,Ramat Gan,Seafood,vegetarian,2024-03-21
424,45-54,Herzliya,Steakhouse,none,2024-04-01
425,18-24,Haifa,Seafood,none,2024-11-08
426,55+,Herzliya,Cafe,halal,2023-05-06
427,45-54,Herzliya,Vegan,gluten_free,2024-02-15
428,18-24,Eilat,Seafood,kosher,2024-02-16
429,25-34,Petah Tikva,Pizza,none,2023-02-17
430,55+,Petah Tikva,Thai,vegan,2025-01-15
431,35-44,Netanya,Seafood,kosher,2023-08-22
432,18-24,Eilat,Asian,halal,2025-05-29
433,18-24,Petah Tikva,Pizza,gluten_free,2024-10-10
434,45-54,Haifa,Pizza,kosher,2025-03-22
435,18-24,Ashdod,Mediterranean,none,2025-04-04
436,35-44,Herzliya,Burger,halal,2025-08-07
437,45-54,Holon,Vegan,none,2024-01-27
438,18-24,Jerusalem,Mediterranean,vegan,2025-01-26
439,55+,Rishon LeZion,Thai,vegan,2023-01-31
440,25-34,Kfar Saba,Steakhouse,none,2024-05-10
441,18-24,Kfar Saba,Seafood,vegetarian,2023-09-11
442,55+,Eilat,Italian,halal,2023-02-12
443,25-34,Jerusalem,Sushi,halal,2024-06-07
444,35-44,Jerusalem,Mexican,none,2025-05-10
445,35-44,Herzliya,Seafood,none,2024-08-06
446,18-24,Tel Aviv,Pizza,gluten_free,2024-07-01
447,25-34,Tel Aviv,Thai,halal,2024-12-22
448,25-34,Herzliya,Israeli,halal,2024-02-18
449,18-24,Herzliya,Mexican,low_carb,2025-05-27
450,45-54,Jerusalem,Steakhouse,halal,2025-04-22
451,35-44,Eilat,Sushi,kosher,2025-06-27
452,55+,Eilat,Cafe,gluten_free,2024-10-12
453,18-24,Ashdod,Greek,vegan,2025-02-17
454,35-44,Haifa,Greek,kosher,2024-04-21
455,45-54,Tel Aviv,Italian,kosher,2024-05-12
456,45-54,Haifa,Sushi,kosher,2023-10-31
457,35-44,Netanya,Greek,low_carb,2025-02-16
458,25-34,Holon,Indian,gluten_free,2023-02-19
459,45-54,Rehovot,Sushi,kosher,2024-09-13
460,55+,Ashdod,Burger,gluten_free,2023-10-16
461,25-34,Holon,Greek,low_carb,2024-10-01
462,25-34,Herzliya,Italian,kosher,2023-06-15
463,35-44,Ashdod,Cafe,halal,2024-08-18
464,25-34,Haifa,Mexican,vegetarian,2024-08-17
465,25-34,Tel Aviv,Mexican,kosher,2023-06-26
466,35-44,Ramat Gan,Steakhouse,gluten_free,2025-09-08
467,18-24,Tel Aviv,Mexican,halal,2023-10-13
468,18-24,Rishon LeZion,Seafood,vegetarian,2025-09-01
469,18-24,Tel Aviv,Seafood,halal,2024-12-26
470,18-24,Eilat,Cafe,none,2025-02-03
471,18-24,Rishon LeZion,Thai,vegan,2023-03-31
472,55+,Kfar Saba,Seafood,gluten_free,2025-04-28
473,55+,Herzliya,Thai,vegan,2025-08-30
474,25-34,Netanya,Japanese,vegan,2025-06-15
475,45-54,Ashdod,Pizza,low_carb,2025-06-26
476,55+,Herzliya,Asian,gluten_free,2024-02-24
477,35-44,Jerusalem,Burger,low_carb,2023-12-16
478,45-54,Ramat Gan,Indian,vegetarian,2023-07-19
479,18-24,Ramat Gan,Pizza,none,2024-07-06
480,55+,Jerusalem,Sushi,vegan,2024-12-22
481,18-24,Beer Sheva,Asian,none,2024-03-11
482,45-54,Herzliya,Steakhouse,halal,2024-01-31
483,55+,Rehovot,Mexican,halal,2024-03-19
484,25-34,Rishon LeZion,Burger,kosher,2023-10-29
485,45-54,Ramat Gan,Vegan,halal,2023-05-13
486,35-44,Ramat Gan,Burger,halal,2025-07-04
487,25-34,Ramat Gan,Thai,low_carb,2025-02-13
488,35-44,Rehovot,Asian,halal,2024-04-07
489,25-34,Eilat,Sushi,none,2024-03-28
490,55+,Kfar Saba,Indian,kosher,2025-07-23
491,55+,Herzliya,Mexican,vegan,2024-04-15
