restaurant_id,name,name_he,city,city_he,region,region_he,cuisine,cuisine_he,restaurant_type,restaurant_type_he,kosher,avg_price_per_person,price_level,rating,suitable_for,suitable_for_he,recommended_dish,recommended_dish_he,is_known_recommended,is_real_name,data_source_note
25,Claro - Holon Branch 1,קלארו - חולון סניף 1,Holon,חולון,Center,מרכז,Mediterranean,ים תיכוני,Mixed,מעורב,No,128,Medium,4.7,"Families,Couples","משפחות,זוגות",Lamb Dish,מנת טלה,Yes,Yes,Real known Israeli restaurant/chain name; branch/location fields adapted for dataset use
26,M25 - Kfar Saba Branch 1,M25 - כפר סבא סניף 1,Kfar Saba,כפר סבא,Center,מרכז,Israeli,ישראלי,Meat,בשרי,No,138,Medium,4.8,"Families,Friends","משפחות,חברים",Steak,סטייק,Yes,Yes,Real known Israeli restaurant/chain name; branch/location fields adapted for dataset use
27,North Abraxas - Ramat Gan Branch 1,צפון אברקסס - רמת גן סניף 1,Ramat Gan,רמת גן,Center,מרכז,Israeli,ישראלי,Chef Restaurant,מסעדת שף,No,129,Medium,4.5,"Couples,Special Occasion","זוגות,אירוע מיוחד",Roasted Cauliflower,כרובית צלויה,Yes,Yes,Real known Israeli restaurant/chain name; branch/location fields adapted for dataset use
28,Port Said - Rishon LeZion Branch 1,פורט סעיד - ראשון לציון סניף 1,Rishon LeZion,ראשון לציון,Center,מרכז,Israeli,ישראלי,Mixed,מעורב,No,158,Medium,4.6,"Business,Friends","עסקים,חברים",Eggplant,חציל,Yes,Yes,Real known Israeli restaurant/chain name; branch/location fields adapted for dataset use
29,Hiba - Herzliya Branch 1,היבה - הרצליה סניף 1,Herzliya,הרצליה,Center,מרכז,Arab Fusion,ערבי פיוז'ן,Mixed,מעורב,No,111,Medium,4.9,"Families,Friends","משפחות,חברים",Chef Tasting,ארוחת טעימות שף,Yes,Yes,Real known Israeli restaurant/chain name; branch/location fields adapted for dataset use
30,Kitchen Market - Jerusalem Branch 1,קיטשן מרקט - ירושלים סניף 1,Jerusalem,ירושלים,Jerusalem,ירושלים,Mediterranean,ים תיכוני,Chef Restaurant,מסעדת שף,No,168,Medium,4.9,"Date,Business","דייט,עסקים",Sea Bass,לברק,Yes,Yes,Real known Israeli restaurant/chain name; branch/location fields adapted for dataset use
31,Machneyuda - Givatayim Branch 1,מחניודה - גבעתיים סניף 1,Givatayim,גבעתיים,Center,מרכז,Israeli,ישראלי,Chef Restaurant,מסעדת שף,No,121,Medium,4.4,"Couples,Business","זוגות,עסקים",Polenta,פולנטה,Yes,Yes,Real known Israeli restaurant/chain name; branch/location fields adapted for dataset use
32,Azura - Rishon LeZion Branch 1,עזורה - ראשון לציון סניף 1,Rishon LeZion,ראשון לציון,Center,מרכז,Middle Eastern,מזרח תיכוני,Meat,בשרי,Yes,127,Medium,4.9,"Couples,Friends","זוגות,חברים",Kubbeh Soup,מרק קובה,Yes,Yes,Real known Israeli restaurant/chain name; branch/location fields adapted for dataset use
33,Chakra - Ashdod Branch 1,צ'אקרה - אשדוד סניף 1,Ashdod,אשדוד,South,דרום,Mediterranean,ים תיכוני,Mixed,מעורב,No,164,Medium,4.7,"Friends,Couples","חברים,זוגות",Seafood,פירות ים,Yes,Yes,Real known Israeli restaurant/chain name; branch/location fields adapted for dataset use
34,The Eucalyptus - Holon Branch 1,האקליפטוס - חולון סניף 1,Holon,חולון,Center,מרכז,Biblical Israeli,ישראלי תנ״כי,Meat,בשרי,Yes,152,Medium,4.6,"Couples,Friends","זוגות,חברים",Stuffed Figs,תאנים ממולאות,Yes,Yes,Real known Israeli restaurant/chain name; branch/location fields adapted for dataset use
35,Mona - Haifa Branch 1,מונה - חיפה סניף 1,Haifa,חיפה,North,צפון,Mediterranean,ים תיכוני,Mixed,מעורב,No,145,Medium,4.4,"Families,Friends","משפחות,חברים",Sea Fish,דג ים,Yes,Yes,Real known Israeli restaurant/chain name; branch/location fields adapted for dataset use
36,Satya - Kfar Saba Branch 1,סאטיה - כפר סבא סניף 1,Kfar Saba,כפר סבא,Center,מרכז,Mediterranean,ים תיכוני,Mixed,מעורב,No,247,Expensive,4.4,"Families,Friends","משפחות,חברים",Fish Dish,מנת דג,Yes,Yes,Real known Israeli restaurant/chain name; branch/location fields adapted for dataset use
37,Adom - Beer Sheva Branch 1,אדום - באר שבע סניף 1,Beer Sheva,באר שבע,South,דרום,Italian,איטלקי,Mixed,מעורב,No,144,Medium,4.9,"Friends,Couples","חברים,זוגות",Pasta,פסטה,Yes,Yes,Real known Israeli restaurant/chain name; branch/location fields adapted for dataset use
38,Piccolino - Givatayim Branch 1,פיקולינו - גבעתיים סניף 1,Givatayim,גבעתיים,Center,מרכז,Italian,איטלקי,Dairy,חלבי,Yes,136,Medium,4.4,"Families,Couples","משפחות,זוגות",Fresh Pasta,פסטה טרייה,Yes,Yes,Real known Israeli restaurant/chain name; branch/location fields adapted for dataset use
39,Modern - Herzliya Branch 1,מודרן - הרצליה סניף 1,Herzliya,הרצליה,Center,מרכז,Israeli,ישראלי,Mixed,מעורב,No,135,Medium,4.6,"Families,Friends","משפחות,חברים",Jerusalem Mixed Dish,מעורב ירושלמי,Yes,Yes,Real known Israeli restaurant/chain name; branch/location fields adapted for dataset use
40,Pergamon - Eilat Branch 1,פרגמון - אילת סניף 1,Eilat,אילת,South,דרום,Mediterranean,ים תיכוני,Mixed,מעורב,No,138,Medium,4.3,"Families,Couples","משפחות,זוגות",Vegetarian Platter,פלטת ירקות,Yes,Yes,Real known Israeli restaurant/chain name; branch/location fields adapted for dataset use
41,Uri Buri - Tel Aviv Branch 1,אורי בורי - תל אביב סניף 1,Tel Aviv,תל אביב,Center,מרכז,Seafood,פירות ים,Fish,דגים,No,258,Expensive,4.7,"Date,Business","דייט,עסקים",Fish Soup,מרק דגים,Yes,Yes,Real known Israeli restaurant/chain name; branch/location fields adapted for dataset use
42,El Marsa - Petah Tikva Branch 1,אל מרסא - פתח תקווה סניף 1,Petah Tikva,פתח תקווה,Center,מרכז,Seafood,פירות ים,Fish,דגים,No,247,Expensive,4.7,"Date,Business","דייט,עסקים",Seafood Platter,פלטת פירות ים,Yes,Yes,Real known Israeli restaurant/chain name; branch/location fields adapted for dataset use
43,Helena - Rehovot Branch 1,הלנה - רחובות סניף 1,Rehovot,רחובות,Center,מרכז,Mediterranean,ים תיכוני,Fish,דגים,No,245,Expensive,4.4,"Families,Friends","משפחות,חברים",Grilled Fish,דג בגריל,Yes,Yes,Real known Israeli restaurant/chain name; branch/location fields adapted for dataset use
44,Limani Bistro - Haifa Branch 1,לימאני ביסטרו - חיפה סניף 1,Haifa,חיפה,North,צפון,Mediterranean,ים תיכוני,Mixed,מעורב,No,112,Medium,4.7,"Families,Couples","משפחות,זוגות",Fish Dish,מנת דג,Yes,Yes,Real known Israeli restaurant/chain name; branch/location fields adapted for dataset use
45,Hanamal 24 - Rishon LeZion Branch 1,הנמל 24 - ראשון לציון סניף 1,Rishon LeZion,ראשון לציון,Center,מרכז,Mediterranean,ים תיכוני,Mixed,מעורב,No,247,Expensive,4.8,"Families,Friends","משפחות,חברים",Chef Dish,מנת שף,Yes,Yes,Real known Israeli restaurant/chain name; branch/location fields adapted for dataset use
46,Fattoush - Ra'anana Branch 1,פטוש - רעננה סניף 1,Ra'anana,רעננה,Center,מרכז,Arab,ערבי,Mixed,מעורב,No,113,Medium,4.3,"Couples,Friends","זוגות,חברים",Fattoush Salad,סלט פתוש,Yes,Yes,Real known Israeli restaurant/chain name; branch/location fields adapted for dataset use
47,Douzan - Beer Sheva Branch 1,דוזאן - באר שבע סניף 1,Beer Sheva,באר שבע,South,דרום,Arab,ערבי,Mixed,מעורב,No,90,Medium,4.6,"Business,Friends","עסקים,חברים",Kebab,קבב,Yes,Yes,Real known Israeli restaurant/chain name; branch/location fields adapted for dataset use
48,Lux - Caesarea Branch 1,לוקס - קיסריה סניף 1,Caesarea,קיסריה,North,צפון,Seafood,פירות ים,Fish,דגים,No,217,Expensive,5.0,"Couples,Business","זוגות,עסקים",Fish Dish,מנת דג,Yes,Yes,Real known Israeli restaurant/chain name; branch/location fields adapted for dataset use
49,Vivino - Rishon LeZion Branch 1,ויווינו - ראשון לציון סניף 1,Rishon LeZion,ראשון לציון,Center,מרכז,Italian,איטלקי,Dairy,חלבי,No,154,Medium,4.9,"Families,Friends","משפחות,חברים",Pasta,פסטה,Yes,Yes,Real known Israeli restaurant/chain name; branch/location fields adapted for dataset use
50,Tishreen - Ashkelon Branch 1,תשרין - אשקלון סניף 1,Ashkelon,אשקלון,South,דרום,Arab,ערבי,Mixed,מעורב,No,108,Medium,4.9,"Business,Friends","עסקים,חברים",Lamb Kebab,קבב טלה,Yes,Yes,Real known Israeli restaurant/chain name; branch/location fields adapted for dataset use
51,Ezba - Nazareth Branch 1,עזבה - נצרת סניף 1,Nazareth,נצרת,North,צפון,Arab,ערבי,Mixed,מעורב,No,147,Medium,4.4,"Couples,Friends","זוגות,חברים",Galilee Dish,מנה גלילית,Yes,Yes,Real known Israeli restaurant/chain name; branch/location fields adapted for dataset use
52,Chang Ba - Holon Branch 1,צ'אנג בה - חולון סניף 1,Holon,חולון,Center,מרכז,Thai,תאילנדי,Mixed,מעורב,No,110,Medium,4.6,"Business,Friends","עסקים,חברים",Pad Thai,פאד תאי,Yes,Yes,Real known Israeli restaurant/chain name; branch/location fields adapted for dataset use
53,Maayan Habira - Eilat Branch 1,מעיין הבירה - אילת סניף 1,Eilat,אילת,South,דרום,Israeli,ישראלי,Meat,בשרי,No,70,Cheap,4.7,"Couples,Friends","זוגות,חברים",Schnitzel,שניצל,Yes,Yes,Real known Israeli restaurant/chain name; branch/location fields adapted for dataset use
54,Ein ElWadi - Zichron Yaakov Branch 1,עין אלוואדי - זכרון יעקב סניף 1,Zichron Yaakov,זכרון יעקב,North,צפון,Arab,ערבי,Mixed,מעורב,No,72,Cheap,4.3,"Couples,Friends","זוגות,חברים",Hummus and Meat,חומוס עם בשר,Yes,Yes,Real known Israeli restaurant/chain name; branch/location fields adapted for dataset use
55,Rak Dagim - Ramat Gan Branch 1,רק דגים - רמת גן סניף 1,Ramat Gan,רמת גן,Center,מרכז,Seafood,פירות ים,Fish,דגים,No,228,Expensive,4.4,"Couples,Business","זוגות,עסקים",Grilled Fish,דג בגריל,Yes,Yes,Real known Israeli restaurant/chain name; branch/location fields adapted for dataset use
56,Pastory - Herzliya Branch 1,פסטורי - הרצליה סניף 1,Herzliya,הרצליה,Center,מרכז,Italian,איטלקי,Dairy,חלבי,No,162,Medium,5.0,"Families,Couples","משפחות,זוגות",Pasta,פסטה,Yes,Yes,Real known Israeli restaurant/chain name; branch/location fields adapted for dataset use
57,Pedro - Modiin Branch 1,פדרו - מודיעין סניף 1,Modiin,מודיעין,Center,מרכז,Mediterranean,ים תיכוני,Meat,בשרי,No,234,Expensive,4.9,"Families,Friends","משפחות,חברים",Steak,סטייק,Yes,Yes,Real known Israeli restaurant/chain name; branch/location fields adapted for dataset use
58,Omer's - Zichron Yaakov Branch 1,עומר'ס - זכרון יעקב סניף 1,Zichron Yaakov,זכרון יעקב,North,צפון,Israeli,ישראלי,Meat,בשרי,No,168,Medium,4.3,"Business,Friends","עסקים,חברים",Sandwich,כריך,Yes,Yes,Real known Israeli restaurant/chain name; branch/location fields adapted for dataset use
59,Branja - Givatayim Branch 1,ברנג'ה - גבעתיים סניף 1,Givatayim,גבעתיים,Center,מרכז,Mediterranean,ים תיכוני,Mixed,מעורב,No,231,Expensive,5.0,"Families,Couples","משפחות,זוגות",Chef Dish,מנת שף,Yes,Yes,Real known Israeli restaurant/chain name; branch/location fields adapted for dataset use
60,Little Brazil - Nazareth Branch 1,ליטל ברזיל - נצרת סניף 1,Nazareth,נצרת,North,צפון,Brazilian,ברזילאי,Meat,בשרי,No,183,Expensive,4.6,"Business,Friends","עסקים,חברים",Churrasco,צ'ורסקו,Yes,Yes,Real known Israeli restaurant/chain name; branch/location fields adapted for dataset use
61,Barbis - Nazareth Branch 1,ברביס - נצרת סניף 1,Nazareth,נצרת,North,צפון,Burgers,המבורגרים,Meat,בשרי,No,102,Medium,5.0,"Families,Friends","משפחות,חברים",Burger,המבורגר,Yes,Yes,Real known Israeli restaurant/chain name; branch/location fields adapted for dataset use
62,Pescado - Haifa Branch 1,פסקדו - חיפה סניף 1,Haifa,חיפה,North,צפון,Seafood,פירות ים,Fish,דגים,No,201,Expensive,4.8,"Date,Business","דייט,עסקים",Fish Fillet,פילה דג,Yes,Yes,Real known Israeli restaurant/chain name; branch/location fields adapted for dataset use
63,Idi - Holon Branch 1,אידי - חולון סניף 1,Holon,חולון,Center,מרכז,Seafood,פירות ים,Fish,דגים,No,245,Expensive,4.6,"Couples,Special Occasion","זוגות,אירוע מיוחד",Seafood Platter,פלטת פירות ים,Yes,Yes,Real known Israeli restaurant/chain name; branch/location fields adapted for dataset use
64,Messa - Ashdod Branch 1,מסה - אשדוד סניף 1,Ashdod,אשדוד,South,דרום,Chef Restaurant,מסעדת שף,Mixed,מעורב,No,305,Expensive,4.3,"Families,Friends","משפחות,חברים",Chef Dish,מנת שף,Yes,Yes,Real known Israeli restaurant/chain name; branch/location fields adapted for dataset use
65,Yam 7 - Zichron Yaakov Branch 1,ים 7 - זכרון יעקב סניף 1,Zichron Yaakov,זכרון יעקב,North,צפון,Seafood,פירות ים,Fish,דגים,No,166,Medium,4.5,"Couples,Special Occasion","זוגות,אירוע מיוחד",Fish Dish,מנת דג,Yes,Yes,Real known Israeli restaurant/chain name; branch/location fields adapted for dataset use
66,Goshen - Holon Branch 1,גושן - חולון סניף 1,Holon,חולון,Center,מרכז,Meat,Meat,Meat,בשרי,No,140,Medium,4.4,"Families,Friends","משפחות,חברים",Steak,סטייק,Yes,Yes,Real known Israeli restaurant/chain name; branch/location fields adapted for dataset use
67,Benny Hadayag - Acre Branch 1,בני הדייג - עכו סניף 1,Acre,עכו,North,צפון,Seafood,פירות ים,Fish,דגים,No,151,Medium,4.3,"Couples,Special Occasion","זוגות,אירוע מיוחד",Fried Fish,דג מטוגן,Yes,Yes,Real known Israeli restaurant/chain name; branch/location fields adapted for dataset use
68,Alfredo - Caesarea Branch 1,אלפרדו - קיסריה סניף 1,Caesarea,קיסריה,North,צפון,Italian,איטלקי,Dairy,חלבי,Yes,97,Medium,4.4,"Families,Couples","משפחות,זוגות",Pasta Alfredo,פסטה אלפרדו,Yes,Yes,Real known Israeli restaurant/chain name; branch/location fields adapted for dataset use
69,Nammos - Haifa Branch 1,נאמוס - חיפה סניף 1,Haifa,חיפה,North,צפון,Greek,יווני,Fish,דגים,No,210,Expensive,4.5,"Business,Friends","עסקים,חברים",Greek Fish,דג בסגנון יווני,Yes,Yes,Real known Israeli restaurant/chain name; branch/location fields adapted for dataset use
70,Dallal - Netanya Branch 1,דלאל - נתניה סניף 1,Netanya,נתניה,Center,מרכז,Mediterranean,ים תיכוני,Mixed,מעורב,No,170,Medium,4.4,"Friends,Couples","חברים,זוגות",Brunch,בראנץ',Yes,Yes,Real known Israeli restaurant/chain name; branch/location fields adapted for dataset use
71,HaBasta - Eilat Branch 1,הבסטה - אילת סניף 1,Eilat,אילת,South,דרום,Mediterranean,ים תיכוני,Mixed,מעורב,No,164,Medium,4.6,"Families,Friends","משפחות,חברים",Market Dish,מנת שוק,Yes,Yes,Real known Israeli restaurant/chain name; branch/location fields adapted for dataset use
72,George & John - Rishon LeZion Branch 1,ג'ורג' וג'ון - ראשון לציון סניף 1,Rishon LeZion,ראשון לציון,Center,מרכז,Chef Restaurant,מסעדת שף,Mixed,מעורב,No,336,Expensive,4.7,"Families,Friends","משפחות,חברים",Chef Tasting,ארוחת טעימות שף,Yes,Yes,Real known Israeli restaurant/chain name; branch/location fields adapted for dataset use
73,Alena - Holon Branch 1,אלנה - חולון סניף 1,Holon,חולון,Center,מרכז,Mediterranean,ים תיכוני,Mixed,מעורב,No,231,Expensive,4.8,"Families,Couples","משפחות,זוגות",Sea Fish,דג ים,Yes,Yes,Real known Israeli restaurant/chain name; branch/location fields adapted for dataset use
74,Night Kitchen - Caesarea Branch 1,נייט קיטשן - קיסריה סניף 1,Caesarea,קיסריה,North,צפון,Mediterranean,ים תיכוני,Mixed,מעורב,No,134,Medium,4.3,"Friends,Couples","חברים,זוגות",Shared Plates,מנות לחלוקה,Yes,Yes,Real known Israeli restaurant/chain name; branch/location fields adapted for dataset use
75,OPA - Eilat Branch 1,אופה - אילת סניף 1,Eilat,אילת,South,דרום,Vegan,טבעוני,Vegan,טבעוני,No,180,Medium,4.5,"Friends,Couples","חברים,זוגות",Vegan Tasting Menu,ארוחת טעימות טבעונית,Yes,Yes,Real known Israeli restaurant/chain name; branch/location fields adapted for dataset use
76,Pastel - Ramat Gan Branch 1,פסטל - רמת גן סניף 1,Ramat Gan,רמת גן,Center,מרכז,Fine Dining,מסעדת יוקרה,Chef Restaurant,מסעדת שף,No,355,Expensive,4.7,"Couples,Special Occasion","זוגות,אירוע מיוחד",Chef Dish,מנת שף,Yes,Yes,Real known Israeli restaurant/chain name; branch/location fields adapted for dataset use
77,Manta Ray - Modiin Branch 1,מנטה ריי - מודיעין סניף 1,Modiin,מודיעין,Center,מרכז,Seafood,פירות ים,Fish,דגים,No,175,Medium,4.2,"Couples,Special Occasion","זוגות,אירוע מיוחד",Seafood Breakfast,ארוחת בוקר פירות ים,Yes,Yes,Real known Israeli restaurant/chain name; branch/location fields adapted for dataset use
78,Milgo & Milbar - Jerusalem Branch 1,מילגו ומילבר - ירושלים סניף 1,Jerusalem,ירושלים,Jerusalem,ירושלים,Mediterranean,ים תיכוני,Mixed,מעורב,No,196,Expensive,4.8,"Families,Couples","משפחות,זוגות",Sea Fish,דג ים,Yes,Yes,Real known Israeli restaurant/chain name; branch/location fields adapted for dataset use
79,Hudson - Tel Aviv Branch 1,הדסון - תל אביב סניף 1,Tel Aviv,תל אביב,Center,מרכז,Steakhouse,סטייק האוס,Meat,בשרי,No,243,Expensive,4.4,"Couples,Special Occasion","זוגות,אירוע מיוחד",Steak,סטייק,Yes,Yes,Real known Israeli restaurant/chain name; branch/location fields adapted for dataset use
80,Herbert Samuel - Ashkelon Branch 1,הרברט סמואל - אשקלון סניף 1,Ashkelon,אשקלון,South,דרום,Mediterranean,ים תיכוני,Fish,דגים,No,224,Expensive,4.3,"Families,Couples","משפחות,זוגות",Fish Dish,מנת דג,Yes,Yes,Real known Israeli restaurant/chain name; branch/location fields adapted for dataset use
81,Santa Katarina - Tiberias Branch 1,סנטה קתרינה - טבריה סניף 1,Tiberias,טבריה,North,צפון,Mediterranean,ים תיכוני,Mixed,מעורב,No,181,Expensive,4.6,"Families,Couples","משפחות,זוגות",Tabun Dish,מנת טאבון,Yes,Yes,Real known Israeli restaurant/chain name; branch/location fields adapted for dataset use
82,Kalamata - Rosh Pina Branch 1,קלמטה - ראש פינה סניף 1,Rosh Pina,ראש פינה,North,צפון,Greek,יווני,Fish,דגים,No,156,Medium,4.8,"Business,Friends","עסקים,חברים",Greek Platter,פלטה יוונית,Yes,Yes,Real known Israeli restaurant/chain name; branch/location fields adapted for dataset use
83,Nina Bianca - Netanya Branch 1,נינה ביאנקה - נתניה סניף 1,Netanya,נתניה,Center,מרכז,Italian,איטלקי,Dairy,חלבי,No,102,Medium,4.2,"Families,Friends","משפחות,חברים",Fresh Pasta,פסטה טרייה,Yes,Yes,Real known Israeli restaurant/chain name; branch/location fields adapted for dataset use
